period,CAGR,Sharpe,Sortino,MDD,Calmar,Final,N_trades,WinRate,ProfitFactor
A_Baseline FULL  2010-2024,0.09920771327379985,0.53902899071437,0.6654083339168355,-0.25591234772223226,0.3876628625261962,2.78208278375636,1359.0,0.3554083885209713,1.154844132129853
A_Baseline IS    2010-2018,0.05021993601178254,0.3624462573706409,0.4709152974346389,-0.2532385988453597,0.19831074820647454,1.2658044997319624,529.0,0.3724007561436673,1.0953293724375168
A_Baseline OOS_A 2019-2023,0.16970526796661156,0.768790327236372,0.8985881190853567,-0.25591234772223226,0.663138256036047,2.18475990821087,643.0,0.3514774494556765,1.2387746437412521
A_Baseline OOS_B 2024     ,0.006041300014691053,0.16867530836990957,0.23627753854651704,-0.16660813225487592,0.036260535022678946,1.006003973117668,187.0,0.32085561497326204,1.0534582916802226
B_Foreign_w0.5 FULL  2010-2024,0.19872470214958304,0.9447398776677586,1.2466899533542684,-0.25234490156617373,0.7875122537297249,7.104408131685182,1322.0,0.3751891074130106,1.3005572221097417
B_Foreign_w0.5 IS    2010-2018,0.1085956321749284,0.663526849002436,0.8741645077579699,-0.25234490156617373,0.4303460521727672,1.6420145293849278,515.0,0.3883495145631068,1.2032703231039636
B_Foreign_w0.5 OOS_A 2019-2023,0.2819437924951085,1.1734562802974813,1.4959897042637087,-0.2290761892152079,1.230786112956653,3.449804151137555,637.0,0.3579277864992151,1.3846564605183844
B_Foreign_w0.5 OOS_B 2024     ,0.255931965613829,0.9504338239245321,1.439689200552908,-0.16999573544375735,1.5055199175775997,1.2541701687752775,170.0,0.4,1.2790800417914963
C_Inst_w0.5 FULL  2010-2024,0.13360942092931327,0.7030354273457466,0.8792449169985816,-0.2712937904316385,0.4924897865031696,3.882796528056464,1341.0,0.3616703952274422,1.2100689348223979
C_Inst_w0.5 IS    2010-2018,0.0513528054193666,0.3755940725935717,0.49288564551328684,-0.2712937904316385,0.18928853969588608,1.272386233059802,529.0,0.3761814744801512,1.0988605821020188
C_Inst_w0.5 OOS_A 2019-2023,0.23405072118261394,1.0419059591747468,1.2293878828045652,-0.16922253133711707,1.3830943157111226,2.8533316649330236,639.0,0.352112676056338,1.3350024987808229
C_Inst_w0.5 OOS_B 2024     ,0.0699272336005845,0.3847288672636641,0.544945208088954,-0.18735633474150515,0.37323122112237545,1.0694818413206268,173.0,0.35260115606936415,1.1098184366438626
D_Fgn+Inst_w0.5 FULL  2010-2024,0.16896015547642218,0.8401539389860082,1.07703647105389,-0.26915223681886125,0.6277494011321627,5.4126044484502085,1346.0,0.36701337295690933,1.2658810003559726
D_Fgn+Inst_w0.5 IS    2010-2018,0.09509556434116728,0.6002156581404434,0.7897865116920743,-0.26915223681886125,0.353315155263474,1.5480327615983802,520.0,0.38076923076923075,1.190490894776958
D_Fgn+Inst_w0.5 OOS_A 2019-2023,0.2738909422952911,1.1701196001286431,1.4320371721889098,-0.19911939026196945,1.3755111540616372,3.3431056936240773,646.0,0.35758513931888547,1.3812701710753188
D_Fgn+Inst_w0.5 OOS_B 2024     ,0.0461567332137911,0.3034996170294274,0.43962671090449124,-0.18979469383824077,0.24319295908836,1.0458659773163577,180.0,0.3611111111111111,1.095326637527201
E_Fgn+Inst_w0.25 FULL  2010-2024,0.16735726949287044,0.824203670082484,1.0492350855737698,-0.26915223681886125,0.6217940875055831,5.332859195079115,1338.0,0.3692077727952167,1.2663494969179305
E_Fgn+Inst_w0.25 IS    2010-2018,0.09509556434116728,0.6002156581404434,0.7897865116920743,-0.26915223681886125,0.353315155263474,1.5480327615983802,520.0,0.38076923076923075,1.190490894776958
E_Fgn+Inst_w0.25 OOS_A 2019-2023,0.25940092271357607,1.1089696829177753,1.3557747570823289,-0.19911939026196945,1.3027406440542924,3.1577686349924603,643.0,0.3561430793157076,1.3680650441049256
E_Fgn+Inst_w0.25 OOS_B 2024     ,0.09152568120280424,0.4465486818547545,0.634802267171885,-0.19036654229758232,0.480786592529115,1.0909369781033478,175.0,0.38285714285714284,1.1345420404604052
KOSPI_BH FULL  2010-2024,0.023416776545512663,0.22510746275266869,0.29864947625022453,-0.4389786736150936,0.05334376805294423,1.4146768545049344,,,
KOSPI_BH IS    2010-2018,0.02082652375813332,0.2154201988916058,0.2858331372520023,-0.25852864116000307,0.0805578974332821,1.2033440635796573,,,
KOSPI_BH OOS_A 2019-2023,0.057432302929773416,0.39414722776689826,0.5410985380367326,-0.3570889844525307,0.16083470907909828,1.3210348258706468,,,
KOSPI_BH OOS_B 2024     ,-0.10184513886368352,-0.4632378356076498,-0.5719558764120236,-0.18357168796582912,-0.5547976378723577,0.8987493492046249,,,
