,equity
2014-03-07,10000000.0
2014-03-10,10000000.0
2014-03-11,10000000.0
2014-03-12,10000000.0
2014-03-13,10000000.0
2014-03-14,10000000.0
2014-03-17,10000000.0
2014-03-18,10000000.0
2014-03-19,10000000.0
2014-03-20,10000000.0
2014-03-21,10000000.0
2014-03-24,10000000.0
2014-03-25,10000000.0
2014-03-26,10000000.0
2014-03-27,10000000.0
2014-03-28,10000000.0
2014-03-31,10000000.0
2014-04-01,10000000.0
2014-04-02,10000000.0
2014-04-03,10000000.0
2014-04-04,10000000.0
2014-04-07,10000000.0
2014-04-08,10000000.0
2014-04-09,10000000.0
2014-04-10,10000000.0
2014-04-11,10000000.0
2014-04-14,10000000.0
2014-04-15,10000000.0
2014-04-16,10000000.0
2014-04-17,10000000.0
2014-04-18,10000000.0
2014-04-21,10000000.0
2014-04-22,10000000.0
2014-04-23,10000000.0
2014-04-24,10000000.0
2014-04-25,10000000.0
2014-04-28,10000000.0
2014-04-29,10000000.0
2014-04-30,10000000.0
2014-05-02,10000000.0
2014-05-07,10000000.0
2014-05-08,10000000.0
2014-05-09,10000000.0
2014-05-12,10000000.0
2014-05-13,10000000.0
2014-05-14,10000000.0
2014-05-15,10000000.0
2014-05-16,10000000.0
2014-05-19,10000000.0
2014-05-20,10000000.0
2014-05-21,10000000.0
2014-05-22,10000000.0
2014-05-23,10000000.0
2014-05-26,10000000.0
2014-05-27,10000000.0
2014-05-28,10000000.0
2014-05-29,10000000.0
2014-05-30,10000000.0
2014-06-02,10000000.0
2014-06-03,10000000.0
2014-06-05,10000000.0
2014-06-09,9887683.125924
2014-06-10,9966790.383354202
2014-06-11,9938914.804936102
2014-06-12,9994721.796681501
2014-06-13,9834336.0200045
2014-06-16,9822024.428950043
2014-06-17,9940427.339168394
2014-06-18,9911292.484137444
2014-06-19,9986052.436400395
2014-06-20,9754150.117453793
2014-06-23,9769724.068912793
2014-06-24,9850146.279199794
2014-06-25,9769670.666598495
2014-06-26,9717692.354341095
2014-06-27,9577432.714902194
2014-06-30,9681473.091780795
2014-07-01,9838988.262259794
2014-07-02,9842813.950591944
2014-07-03,10313132.328874495
2014-07-04,10137554.471635345
2014-07-07,10255080.973189645
2014-07-08,10547210.100165196
2014-07-09,10672130.695083246
2014-07-10,10890238.350217465
2014-07-11,10864684.049996465
2014-07-14,10992492.151259165
2014-07-15,10877153.181683166
2014-07-16,10755796.006536964
2014-07-17,10872762.164895363
2014-07-18,10883750.674436316
2014-07-21,10794086.789624764
2014-07-22,11016969.746197617
2014-07-23,10880233.777432365
2014-07-24,10829586.504039867
2014-07-25,10980316.829633065
2014-07-28,11151919.440747567
2014-07-29,10993559.808560757
2014-07-30,11038146.974712806
2014-07-31,11086598.714223057
2014-08-01,11186046.669819957
2014-08-04,11132381.345663156
2014-08-05,10874289.085868157
2014-08-06,11036843.450536406
2014-08-07,10957678.922307407
2014-08-08,11037570.700957008
2014-08-11,10908532.237588007
