,equity
2014-03-07,10000000.0
2014-03-10,10000000.0
2014-03-11,10000000.0
2014-03-12,10000000.0
2014-03-13,10000000.0
2014-03-14,10000000.0
2014-03-17,10000000.0
2014-03-18,10000000.0
2014-03-19,10000000.0
2014-03-20,10000000.0
2014-03-21,10000000.0
2014-03-24,10000000.0
2014-03-25,10000000.0
2014-03-26,10000000.0
2014-03-27,10000000.0
2014-03-28,10000000.0
2014-03-31,10000000.0
2014-04-01,10000000.0
2014-04-02,10000000.0
2014-04-03,10000000.0
2014-04-04,10000000.0
2014-04-07,10000000.0
2014-04-08,10000000.0
2014-04-09,10000000.0
2014-04-10,10000000.0
2014-04-11,10000000.0
2014-04-14,10000000.0
2014-04-15,10000000.0
2014-04-16,10000000.0
2014-04-17,10000000.0
2014-04-18,10000000.0
2014-04-21,10000000.0
2014-04-22,10000000.0
2014-04-23,10000000.0
2014-04-24,10000000.0
2014-04-25,10000000.0
2014-04-28,10000000.0
2014-04-29,10000000.0
2014-04-30,10000000.0
2014-05-02,10000000.0
2014-05-07,10000000.0
2014-05-08,10000000.0
2014-05-09,10000000.0
2014-05-12,10000000.0
2014-05-13,10000000.0
2014-05-14,10000000.0
2014-05-15,10000000.0
2014-05-16,10000000.0
2014-05-19,10000000.0
2014-05-20,10000000.0
2014-05-21,10000000.0
2014-05-22,10000000.0
2014-05-23,10000000.0
2014-05-26,10000000.0
2014-05-27,10000000.0
2014-05-28,10000000.0
2014-05-29,10000000.0
2014-05-30,10000000.0
2014-06-02,10000000.0
2014-06-03,10000000.0
2014-06-05,10000000.0
2014-06-09,9887683.125924
2014-06-10,9966790.383354202
2014-06-11,9938914.804936102
2014-06-12,9994721.796681501
2014-06-13,9834336.0200045
2014-06-16,9805976.805508593
2014-06-17,9895413.362475544
2014-06-18,9876613.947958294
2014-06-19,9992101.478274845
2014-06-20,9771929.475519994
2014-06-23,9708472.104162244
2014-06-24,9842831.833788393
2014-06-25,9809907.622786494
2014-06-26,9850649.159567393
2014-06-27,9692613.163423192
2014-06-30,9789933.410158793
2014-07-01,9938634.321524294
2014-07-02,9955436.640985692
2014-07-03,10358030.265564494
2014-07-04,10258684.009266494
2014-07-07,10380160.830646694
2014-07-08,10692906.115803193
2014-07-09,10645487.149396192
2014-07-10,10921103.060886094
2014-07-11,10957925.554494694
2014-07-14,10990837.242312245
2014-07-15,10853140.200612094
2014-07-16,10906067.706325892
2014-07-17,10964924.679986343
2014-07-18,11005196.605298793
2014-07-21,10929944.109372541
2014-07-22,11053086.007509245
2014-07-23,10892344.451849794
2014-07-24,10854804.511048146
2014-07-25,10948304.680410994
2014-07-28,11044012.694143444
2014-07-29,10965223.52673566
2014-07-30,11100302.13081776
2014-07-31,11173702.10422091
2014-08-01,11348898.090563212
2014-08-04,11278731.556633908
2014-08-05,11057623.32209801
2014-08-06,11146869.442142509
2014-08-07,11103107.64609096
2014-08-08,10942766.17660671
2014-08-11,10889181.61365786
