,equity
2020-01-02,10000000.0
2020-01-03,10000000.0
2020-01-06,10000000.0
2020-01-07,10000000.0
2020-01-08,10000000.0
2020-01-09,10000000.0
2020-01-10,10000000.0
2020-01-13,10000000.0
2020-01-14,10000000.0
2020-01-15,10000000.0
2020-01-16,10000000.0
2020-01-17,10000000.0
2020-01-20,10000000.0
2020-01-21,10000000.0
2020-01-22,10000000.0
2020-01-23,10000000.0
2020-01-28,10000000.0
2020-01-29,10000000.0
2020-01-30,10000000.0
2020-01-31,10000000.0
2020-02-03,10000000.0
2020-02-04,10000000.0
2020-02-05,10000000.0
2020-02-06,10000000.0
2020-02-07,10000000.0
2020-02-10,10000000.0
2020-02-11,10000000.0
2020-02-12,10000000.0
2020-02-13,10000000.0
2020-02-14,10000000.0
2020-02-17,10000000.0
2020-02-18,10000000.0
2020-02-19,10000000.0
2020-02-20,10000000.0
2020-02-21,10000000.0
2020-02-24,10000000.0
2020-02-25,10000000.0
2020-02-26,10000000.0
2020-02-27,10000000.0
2020-02-28,10000000.0
2020-03-02,10000000.0
2020-03-03,10000000.0
2020-03-04,10000000.0
2020-03-05,10000000.0
2020-03-06,10000000.0
2020-03-09,10000000.0
2020-03-10,10000000.0
2020-03-11,10000000.0
2020-03-12,10000000.0
2020-03-13,10000000.0
2020-03-16,10000000.0
2020-03-17,10000000.0
2020-03-18,10000000.0
2020-03-19,10000000.0
2020-03-20,10000000.0
2020-03-23,10000000.0
2020-03-24,10000000.0
2020-03-25,10000000.0
2020-03-26,10000000.0
2020-03-27,10000000.0
2020-03-30,10000000.0
2020-03-31,10000000.0
2020-04-01,10000000.0
2020-04-02,10000000.0
2020-04-03,10000000.0
2020-04-06,10000000.0
2020-04-07,10000000.0
2020-04-08,10000000.0
2020-04-09,10000000.0
2020-04-10,10000000.0
2020-04-13,10000000.0
2020-04-14,10000000.0
2020-04-16,10000000.0
2020-04-17,10000000.0
2020-04-20,10000000.0
2020-04-21,10000000.0
2020-04-22,10000000.0
2020-04-23,10000000.0
2020-04-24,10000000.0
2020-04-27,10004830.372247
2020-04-28,10022902.935892701
2020-04-29,10017724.2480644
2020-05-04,9925858.30742535
2020-05-06,9977415.86375985
2020-05-07,10055181.628536465
2020-05-08,10055181.628536465
2020-05-11,10055181.628536465
2020-05-12,10055181.628536465
2020-05-13,10055181.628536465
2020-05-14,10082117.693286464
2020-05-15,9969749.938521465
2020-05-18,9873233.293098964
2020-05-19,9972140.846538965
2020-05-20,10089444.008456465
2020-05-21,10122065.554156564
2020-05-22,10156962.372406565
2020-05-25,10073150.537621565
2020-05-26,10137709.651384065
2020-05-27,10137709.651384065
2020-05-28,10057646.379799064
2020-05-29,10061938.983026264
2020-06-01,10203600.576790163
2020-06-02,10305511.250703562
2020-06-03,10311942.235781062
2020-06-04,10305511.250703562
2020-06-05,10350528.146246063
2020-06-08,10260494.355161062
2020-06-09,10260494.355161062
2020-06-10,10334508.974850062
2020-06-11,10358213.545386562
2020-06-12,10193784.922462702
2020-06-15,9313660.553953553
2020-06-16,9912672.053044377
2020-06-17,10051295.141512226
2020-06-18,10255364.113711342
2020-06-19,10262989.567024942
2020-06-22,10242940.385475976
2020-06-23,10197772.872817976
2020-06-24,10419850.46819596
2020-06-25,10007808.91241185
2020-06-26,9975799.626968712
2020-06-29,9895442.732334182
2020-06-30,9830550.005448965
2020-07-01,9610718.472145218
2020-07-02,9694011.931483567
2020-07-03,9862448.971641913
2020-07-06,9771727.86457397
2020-07-07,9548167.659455772
2020-07-08,9397414.052431973
2020-07-09,9235290.258189172
2020-07-10,8981286.160802951
2020-07-13,8902163.2236928
2020-07-14,8847165.82504855
2020-07-15,8877812.9825881
2020-07-16,8850816.8039899
2020-07-17,8940731.952122169
2020-07-20,8815004.718017068
2020-07-21,9297353.146432815
2020-07-22,9295644.697916491
2020-07-23,9300130.015877722
2020-07-24,9250775.944352722
2020-07-27,9313101.167881621
2020-07-28,9409151.988015521
2020-07-29,9386315.51015272
2020-07-30,9376792.98602432
2020-07-31,9380969.292604819
2020-08-03,9268436.400774194
2020-08-04,9251768.178829543
2020-08-05,9332366.867311692
2020-08-06,9500453.71854353
2020-08-07,9485659.461709429
2020-08-10,9470180.230185678
2020-08-11,9460683.31036193
2020-08-12,9556298.25378088
2020-08-13,9922796.50624438
2020-08-14,9644791.50218173
2020-08-18,9450751.76720418
2020-08-19,9639629.46189603
2020-08-20,9296139.294174645
2020-08-21,9062374.246182853
2020-08-24,9162022.358531702
