,equity
2020-01-02,10000000.0
2020-01-03,10000000.0
2020-01-06,10000000.0
2020-01-07,10000000.0
2020-01-08,10000000.0
2020-01-09,10000000.0
2020-01-10,10000000.0
2020-01-13,10000000.0
2020-01-14,10000000.0
2020-01-15,10000000.0
2020-01-16,10000000.0
2020-01-17,10000000.0
2020-01-20,10000000.0
2020-01-21,10000000.0
2020-01-22,10000000.0
2020-01-23,10000000.0
2020-01-28,10000000.0
2020-01-29,10000000.0
2020-01-30,10000000.0
2020-01-31,10000000.0
2020-02-03,10000000.0
2020-02-04,10211150.18292
2020-02-05,10041867.701722631
2020-02-06,10304789.383649837
2020-02-07,10288786.301031558
2020-02-10,10288786.301031558
2020-02-11,10288786.301031558
2020-02-12,10288786.301031558
2020-02-13,10288786.301031558
2020-02-14,10288786.301031558
2020-02-17,10288786.301031558
2020-02-18,10289038.804524057
2020-02-19,10279080.249647457
2020-02-20,10343174.378262557
2020-02-21,10324377.730564468
2020-02-24,10324377.730564468
2020-02-25,10377980.681394517
2020-02-26,10232262.079983367
2020-02-27,10061034.441765621
2020-02-28,9926180.41366474
2020-03-02,9868183.81365724
2020-03-03,9910408.963739738
2020-03-04,9925763.56376974
2020-03-05,9954042.62418099
2020-03-06,9916739.421049666
2020-03-09,9907167.722329665
2020-03-10,9903036.576289665
2020-03-11,9731096.042601164
2020-03-12,9767053.524715574
2020-03-13,9767053.524715574
2020-03-16,9431975.689874874
2020-03-17,9387696.572893297
2020-03-18,8729939.590330146
2020-03-19,9022397.286155125
2020-03-20,9022397.286155125
2020-03-23,8914852.214033976
2020-03-24,9650260.917098079
2020-03-25,9661486.226477155
2020-03-26,9661486.226477155
2020-03-27,9661486.226477155
2020-03-30,9661486.226477155
2020-03-31,9494074.131218906
2020-04-01,9304443.14580113
2020-04-02,9305229.844155112
2020-04-03,9425658.780834712
2020-04-06,9491084.950913971
2020-04-07,9491084.950913971
2020-04-08,9491084.950913971
2020-04-09,9491084.950913971
2020-04-10,9491084.950913971
2020-04-13,9408106.072313972
2020-04-14,9418753.091562046
2020-04-16,9418753.091562046
2020-04-17,9491434.608966747
2020-04-20,9641938.045418205
2020-04-21,9523145.53715039
2020-04-22,9499716.03831479
2020-04-23,9519625.822816592
2020-04-24,9492887.88067344
2020-04-27,9630803.855312774
2020-04-28,9727824.986463374
2020-04-29,9733594.915488373
2020-05-04,9654650.834717248
2020-05-06,9654650.834717248
2020-05-07,9654650.834717248
2020-05-08,9654650.834717248
2020-05-11,9654650.834717248
2020-05-12,9654650.834717248
2020-05-13,9654650.834717248
2020-05-14,9594574.404700499
2020-05-15,9580413.63977861
2020-05-18,9610095.88945166
2020-05-19,9581911.22492906
2020-05-20,9686933.378921786
2020-05-21,9686933.378921786
2020-05-22,9686933.378921786
2020-05-25,9686933.378921786
2020-05-26,9686933.378921786
2020-05-27,9686933.378921786
2020-05-28,9686933.378921786
2020-05-29,9686933.378921786
2020-06-01,9686933.378921786
2020-06-02,9686933.378921786
2020-06-03,9686933.378921786
2020-06-04,9686933.378921786
2020-06-05,9686933.378921786
2020-06-08,9686933.378921786
2020-06-09,9686933.378921786
2020-06-10,9686933.378921786
2020-06-11,9686933.378921786
2020-06-12,9686933.378921786
2020-06-15,9105380.125755537
2020-06-16,9369821.982879348
2020-06-17,9364238.491959348
2020-06-18,9348208.637619348
2020-06-19,9459946.25555195
2020-06-22,9459946.25555195
2020-06-23,9459946.25555195
2020-06-24,9459946.25555195
2020-06-25,9459946.25555195
2020-06-26,9459946.25555195
2020-06-29,9459946.25555195
2020-06-30,9459946.25555195
2020-07-01,9459946.25555195
2020-07-02,9459946.25555195
2020-07-03,9459946.25555195
2020-07-06,9459946.25555195
2020-07-07,9459946.25555195
2020-07-08,9459946.25555195
2020-07-09,9459946.25555195
2020-07-10,9459946.25555195
2020-07-13,9459946.25555195
2020-07-14,9459946.25555195
2020-07-15,9459946.25555195
2020-07-16,9459946.25555195
2020-07-17,9459946.25555195
2020-07-20,9459946.25555195
2020-07-21,9459946.25555195
2020-07-22,9459946.25555195
2020-07-23,9459946.25555195
2020-07-24,9459946.25555195
2020-07-27,9459946.25555195
2020-07-28,9479037.34988045
2020-07-29,9436245.874290349
2020-07-30,9425651.20026965
2020-07-31,9425651.20026965
2020-08-03,9346240.80786965
2020-08-04,9353120.46632465
2020-08-05,9312660.7187347
2020-08-06,9280540.520666618
2020-08-07,9197944.727764118
2020-08-10,9208533.294841625
2020-08-11,9208533.294841625
2020-08-12,9208533.294841625
