,equity
2020-01-02,10000000.0
2020-01-03,10000000.0
2020-01-06,10000000.0
2020-01-07,10000000.0
2020-01-08,10000000.0
2020-01-09,10000000.0
2020-01-10,10000000.0
2020-01-13,10000000.0
2020-01-14,10000000.0
2020-01-15,10000000.0
2020-01-16,10000000.0
2020-01-17,10000000.0
2020-01-20,10000000.0
2020-01-21,10000000.0
2020-01-22,10000000.0
2020-01-23,10000000.0
2020-01-28,10000000.0
2020-01-29,10000000.0
2020-01-30,10000000.0
2020-01-31,10000000.0
2020-02-03,10021636.1055962
2020-02-04,10059355.868516
2020-02-05,9924065.3919175
2020-02-06,10067499.148172501
2020-02-07,10357377.109417701
2020-02-10,10550030.425739001
2020-02-11,10902392.482384557
2020-02-12,10707491.357463907
2020-02-13,10712112.693252157
2020-02-14,10877551.318899669
2020-02-17,10822693.420911793
2020-02-18,10256948.725967593
2020-02-19,10427535.649356175
2020-02-20,10358618.962852674
2020-02-21,10206480.621134274
2020-02-24,9741873.419103893
2020-02-25,9721863.284403758
2020-02-26,10057529.989046443
2020-02-27,10038454.960960094
2020-02-28,9757295.077825243
2020-03-02,9805294.184628364
2020-03-03,10119087.513674863
2020-03-04,10198874.50081857
2020-03-05,10272790.793381669
2020-03-06,10256805.386672169
2020-03-09,9625152.516000954
2020-03-10,9754861.320418393
2020-03-11,9673791.32547948
2020-03-12,9673791.32547948
2020-03-13,9843369.10017393
2020-03-16,9858287.489975804
2020-03-17,9858287.489975804
2020-03-18,9586524.490070404
2020-03-19,9648662.961108694
2020-03-20,9648662.961108694
2020-03-23,9648662.961108694
2020-03-24,9718745.915531695
2020-03-25,9585590.927838191
2020-03-26,9344971.520030249
2020-03-27,9079095.076525567
2020-03-30,9237310.109954871
2020-03-31,9371466.513955971
2020-04-01,9289241.940046951
2020-04-02,9248862.224269401
2020-04-03,9373253.634400677
2020-04-06,9675807.577499572
2020-04-07,9971315.110749472
2020-04-08,9700835.123658244
2020-04-09,9883815.218054192
2020-04-10,9901668.90515425
2020-04-13,9381141.561002841
2020-04-14,9591718.932842841
2020-04-16,9431150.817319216
2020-04-17,9540407.433160014
2020-04-20,9184347.846913226
2020-04-21,9237865.02275763
2020-04-22,9396132.129862659
2020-04-23,9509541.94478261
2020-04-24,9472521.40587911
2020-04-27,9557180.089901658
2020-04-28,9613198.479109524
2020-04-29,9715895.926589666
2020-05-04,9229423.306722213
2020-05-06,9304375.483979063
2020-05-07,9581218.412231592
2020-05-08,9642158.227415593
2020-05-11,9728568.245800618
2020-05-12,9341236.090816455
2020-05-13,9723984.437288264
2020-05-14,9328834.636362217
2020-05-15,9413998.578956291
2020-05-18,9315862.74372559
2020-05-19,9291498.441682491
2020-05-20,9736282.841382291
2020-05-21,9737314.154341094
2020-05-22,9967948.974402493
2020-05-25,10291363.267803133
2020-05-26,10348363.435551435
2020-05-27,10318440.131645545
2020-05-28,10121269.513569333
2020-05-29,10380127.222155709
2020-06-01,10642844.92130269
2020-06-02,10800533.672454938
2020-06-03,10835157.78046365
2020-06-04,10675695.531172927
2020-06-05,10692809.286930684
2020-06-08,10663326.574643396
2020-06-09,10460177.239830896
2020-06-10,10530579.643269934
2020-06-11,10577545.937292954
2020-06-12,10580279.732643928
2020-06-15,9383849.334008513
2020-06-16,10162712.458068583
2020-06-17,10107774.477978522
2020-06-18,10108111.591101322
2020-06-19,9729621.679439537
2020-06-22,10492566.447353464
2020-06-23,10666973.685652273
2020-06-24,10685451.599625355
2020-06-25,10808447.099903693
2020-06-26,10516680.495127358
2020-06-29,10811961.492019607
2020-06-30,10752046.92857936
2020-07-01,10438459.33259311
2020-07-02,10829015.774466727
2020-07-03,10770679.26192418
2020-07-06,11108342.27477263
2020-07-07,11376557.87776828
2020-07-08,11336712.339484204
2020-07-09,11517039.75736304
2020-07-10,11548520.34055384
2020-07-13,11623033.934111688
2020-07-14,11336359.686793169
2020-07-15,11975705.369764984
2020-07-16,11616612.592948183
2020-07-17,11673578.159059484
2020-07-20,11778684.243306583
2020-07-21,12098688.837815925
2020-07-22,12475657.334445376
2020-07-23,12559841.843319617
2020-07-24,12434468.326164484
2020-07-27,12337833.784713704
2020-07-28,12498003.35893268
2020-07-29,12415542.154362988
2020-07-30,12372390.244334841
2020-07-31,12237621.612588141
2020-08-03,11887357.374820242
2020-08-04,11868507.709250016
2020-08-05,11889316.183446517
2020-08-06,12188117.29616652
2020-08-07,12496032.431782331
2020-08-10,12447766.442993985
2020-08-11,12221564.55567285
