,equity
2020-01-02,10000000.0
2020-01-03,10000000.0
2020-01-06,10000000.0
2020-01-07,10000000.0
2020-01-08,10000000.0
2020-01-09,10000000.0
2020-01-10,10000000.0
2020-01-13,10000000.0
2020-01-14,10000000.0
2020-01-15,10000000.0
2020-01-16,10000000.0
2020-01-17,10000000.0
2020-01-20,10000000.0
2020-01-21,10000000.0
2020-01-22,10000000.0
2020-01-23,10000000.0
2020-01-28,10000000.0
2020-01-29,10000000.0
2020-01-30,10000000.0
2020-01-31,10000000.0
2020-02-03,10000000.0
2020-02-04,10000000.0
2020-02-05,10000000.0
2020-02-06,10000000.0
2020-02-07,10000000.0
2020-02-10,10000000.0
2020-02-11,10000000.0
2020-02-12,10000000.0
2020-02-13,10000000.0
2020-02-14,10000000.0
2020-02-17,10000000.0
2020-02-18,10000000.0
2020-02-19,10000000.0
2020-02-20,10000000.0
2020-02-21,10000000.0
2020-02-24,10000000.0
2020-02-25,10000000.0
2020-02-26,10000000.0
2020-02-27,10000000.0
2020-02-28,10000000.0
2020-03-02,10000000.0
2020-03-03,10000000.0
2020-03-04,10000000.0
2020-03-05,10000000.0
2020-03-06,10000000.0
2020-03-09,10000000.0
2020-03-10,10000000.0
2020-03-11,10000000.0
2020-03-12,10000000.0
2020-03-13,10000000.0
2020-03-16,10000000.0
2020-03-17,10000000.0
2020-03-18,10000000.0
2020-03-19,10000000.0
2020-03-20,10000000.0
2020-03-23,10000000.0
2020-03-24,10000000.0
2020-03-25,10000000.0
2020-03-26,10000000.0
2020-03-27,10000000.0
2020-03-30,10000000.0
2020-03-31,10000000.0
2020-04-01,9716748.2280262
2020-04-02,9885023.896134978
2020-04-03,9885023.896134978
2020-04-06,9885023.896134978
2020-04-07,9956755.580134979
2020-04-08,9575235.644064978
2020-04-09,9634580.176128978
2020-04-10,9572380.383620478
2020-04-13,9445477.092434028
2020-04-14,9464868.061728012
2020-04-16,9458446.050118063
2020-04-17,9409435.961515812
2020-04-20,8927861.508939162
2020-04-21,9168948.73027228
2020-04-22,9269177.01838388
2020-04-23,9262040.120525781
2020-04-24,9201626.748771379
2020-04-27,9260975.26904318
2020-04-28,9281913.35999318
2020-04-29,9245905.825870879
2020-05-04,9136750.57248878
2020-05-06,9273463.54537908
2020-05-07,9515613.62130143
2020-05-08,9659013.122432254
2020-05-11,9873623.053651653
2020-05-12,9757088.360676723
2020-05-13,9866407.668986676
2020-05-14,9607321.687459476
2020-05-15,9669912.720377872
2020-05-18,9556195.460130148
2020-05-19,9274889.74937636
2020-05-20,9614984.16952136
2020-05-21,9805022.271191359
2020-05-22,9701442.84289826
2020-05-25,9864866.35657826
2020-05-26,9905282.359009009
2020-05-27,9636129.902297959
2020-05-28,9604415.02731557
2020-05-29,9774777.90624566
2020-06-01,10160424.21159941
2020-06-02,10398645.78636621
2020-06-03,10256113.21550956
2020-06-04,10245835.461178921
2020-06-05,10371386.576896032
2020-06-08,10241687.06808418
2020-06-09,10273957.887609351
2020-06-10,10212210.082141863
2020-06-11,10138833.257012349
2020-06-12,10112480.18050005
2020-06-15,9405348.955490578
2020-06-16,9883882.443609959
2020-06-17,10000779.777531773
2020-06-18,10186235.010500373
2020-06-19,10199892.628111474
2020-06-22,10143363.770754272
2020-06-23,10285748.319744905
2020-06-24,10296384.542592362
2020-06-25,10293816.344239328
2020-06-26,10291103.118728912
2020-06-29,10266066.147212462
2020-06-30,10405454.009822462
2020-07-01,10409442.217622463
2020-07-02,10559565.897245463
2020-07-03,10702313.824926961
2020-07-06,10673817.074836362
2020-07-07,10604956.978309877
2020-07-08,10734201.193319278
2020-07-09,10696911.450389279
2020-07-10,10558960.29844208
2020-07-13,10659464.407669678
2020-07-14,10077528.263634779
2020-07-15,10217163.21687509
2020-07-16,9846317.873514239
2020-07-17,9972927.51833304
2020-07-20,10158693.25239729
2020-07-21,10449123.019334864
2020-07-22,10685274.206146166
2020-07-23,10589041.42330196
2020-07-24,10338935.537271809
2020-07-27,10637473.684259195
2020-07-28,10680851.408892035
2020-07-29,10682535.429635584
2020-07-30,11070016.612805484
2020-07-31,10795345.163385484
2020-08-03,10500340.124612568
2020-08-04,10464430.600060493
2020-08-05,10702310.245447343
2020-08-06,10675718.116454842
2020-08-07,10983873.878514292
2020-08-10,11199803.53684679
2020-08-11,11148002.551878238
2020-08-12,10686846.193252288
2020-08-13,10529700.516995238
2020-08-14,10090573.775915798
2020-08-18,9576733.397033207
2020-08-19,9718847.739918333
2020-08-20,9412388.897522308
