,equity
2020-01-02,10000000.0
2020-01-03,10000000.0
2020-01-06,10000000.0
2020-01-07,10000000.0
2020-01-08,10000000.0
2020-01-09,10000000.0
2020-01-10,10000000.0
2020-01-13,10000000.0
2020-01-14,10000000.0
2020-01-15,10000000.0
2020-01-16,10000000.0
2020-01-17,10000000.0
2020-01-20,10000000.0
2020-01-21,10000000.0
2020-01-22,10000000.0
2020-01-23,10000000.0
2020-01-28,10000000.0
2020-01-29,10000000.0
2020-01-30,10000000.0
2020-01-31,10000000.0
2020-02-03,10000000.0
2020-02-04,10000000.0
2020-02-05,10000000.0
2020-02-06,10000000.0
2020-02-07,10000000.0
2020-02-10,10000000.0
2020-02-11,10000000.0
2020-02-12,10000000.0
2020-02-13,10000000.0
2020-02-14,10000000.0
2020-02-17,10000000.0
2020-02-18,10000000.0
2020-02-19,10000000.0
2020-02-20,10000000.0
2020-02-21,10000000.0
2020-02-24,10000000.0
2020-02-25,10000000.0
2020-02-26,10000000.0
2020-02-27,10000000.0
2020-02-28,10000000.0
2020-03-02,10000000.0
2020-03-03,10000000.0
2020-03-04,10000000.0
2020-03-05,10000000.0
2020-03-06,10000000.0
2020-03-09,10000000.0
2020-03-10,10000000.0
2020-03-11,10000000.0
2020-03-12,10000000.0
2020-03-13,10000000.0
2020-03-16,9775719.2773159
2020-03-17,9892449.73259332
2020-03-18,9892449.73259332
2020-03-19,9892449.73259332
2020-03-20,9892449.73259332
2020-03-23,9892449.73259332
2020-03-24,9892449.73259332
2020-03-25,9892449.73259332
2020-03-26,9892449.73259332
2020-03-27,9744536.672520721
2020-03-30,9742468.38795564
2020-03-31,9893770.143962424
2020-04-01,9893770.143962424
2020-04-02,9893770.143962424
2020-04-03,9931766.543236826
2020-04-06,10038383.117264653
2020-04-07,10113676.492320854
2020-04-08,10113676.492320854
2020-04-09,9943371.929503005
2020-04-10,9889226.015758751
2020-04-13,9464318.210275818
2020-04-14,9835127.296845876
2020-04-16,9872313.069964657
2020-04-17,10242947.191338157
2020-04-20,10339392.660229657
2020-04-21,10004514.42387836
2020-04-22,10232379.033066994
2020-04-23,10171172.952158011
2020-04-24,10113380.42397621
2020-04-27,10194835.789779061
2020-04-28,10203002.675869362
2020-04-29,10260692.10169636
2020-05-04,10117681.341861716
2020-05-06,10278134.432726515
2020-05-07,10468503.183074415
2020-05-08,10699827.019198906
2020-05-11,10468608.722647985
2020-05-12,10360081.098405238
2020-05-13,10618872.453886488
2020-05-14,10297767.839807017
2020-05-15,10178831.675426066
2020-05-18,10191674.701594016
2020-05-19,10291607.330364317
2020-05-20,10509592.202742454
2020-05-21,10492630.070181154
2020-05-22,10287842.127725553
2020-05-25,10363889.274055952
2020-05-26,10552466.20281545
2020-05-27,10335266.412021652
2020-05-28,10363942.30671915
2020-05-29,10384136.784090202
2020-06-01,10674141.679810256
2020-06-02,10734615.821738716
2020-06-03,10498709.462916035
2020-06-04,10635175.419676956
2020-06-05,10938917.65340882
2020-06-08,10979278.628512971
2020-06-09,10903692.444785647
2020-06-10,10859549.849403296
2020-06-11,10643277.238251796
2020-06-12,10463747.039265348
2020-06-15,9672187.624178646
2020-06-16,10217235.810362285
2020-06-17,10299998.101575935
2020-06-18,10278495.960997334
2020-06-19,10349620.062509235
2020-06-22,10250785.13868377
2020-06-23,10240454.85591367
2020-06-24,10418205.883908821
2020-06-25,10137689.664245933
2020-06-26,10141765.612617534
2020-06-29,9908557.435602833
2020-06-30,9911073.443002783
2020-07-01,9838539.93391187
2020-07-02,9967464.13666782
2020-07-03,9951461.395046711
2020-07-06,10022347.729360512
2020-07-07,9897115.803148936
2020-07-08,9653467.541431388
2020-07-09,9726340.688640615
2020-07-10,9561337.810170915
2020-07-13,9734129.900106393
2020-07-14,9595225.470076844
2020-07-15,9716614.91769208
2020-07-16,9456504.704572732
2020-07-17,9863823.634834347
2020-07-20,9716972.112196762
2020-07-21,10059193.480143882
2020-07-22,10042904.012022391
2020-07-23,10040760.824026441
2020-07-24,9919013.858643092
2020-07-27,10015197.61190579
2020-07-28,10078948.142298894
2020-07-29,10190902.074562414
2020-07-30,10187139.809735194
2020-07-31,10056818.740658792
2020-08-03,10032276.588136036
2020-08-04,10369400.246281486
2020-08-05,10604073.972504634
2020-08-06,10793094.977657586
2020-08-07,10715646.973337436
2020-08-10,11006036.167163614
2020-08-11,11252970.899672154
2020-08-12,11259218.223359404
2020-08-13,11209155.247897957
2020-08-14,10980973.442632917
2020-08-18,10577237.647666592
