,equity
2020-01-02,10000000.0
2020-01-03,10000000.0
2020-01-06,10000000.0
2020-01-07,10000000.0
2020-01-08,10000000.0
2020-01-09,10000000.0
2020-01-10,10000000.0
2020-01-13,10000000.0
2020-01-14,10000000.0
2020-01-15,10000000.0
2020-01-16,10000000.0
2020-01-17,10000000.0
2020-01-20,10000000.0
2020-01-21,10000000.0
2020-01-22,10000000.0
2020-01-23,10000000.0
2020-01-28,10000000.0
2020-01-29,10000000.0
2020-01-30,10000000.0
2020-01-31,10000000.0
2020-02-03,9849403.48860055
2020-02-04,9995111.4336642
2020-02-05,10109577.98278395
2020-02-06,10526767.536639445
2020-02-07,10554989.856832813
2020-02-10,10358294.344367765
2020-02-11,10633459.432422794
2020-02-12,10551363.886182152
2020-02-13,10783809.117686402
2020-02-14,10655513.088359803
2020-02-17,10689047.145358589
2020-02-18,10284895.026227152
2020-02-19,10393531.446382232
2020-02-20,10556177.853044258
2020-02-21,10392230.777977062
2020-02-24,9988289.161717525
2020-02-25,10043492.689428104
2020-02-26,9976272.444011053
2020-02-27,9838802.848173853
2020-02-28,9618518.437620774
2020-03-02,9749853.600901349
2020-03-03,9802674.422056498
2020-03-04,9992676.993358599
2020-03-05,10227747.824586537
2020-03-06,9937265.157997914
2020-03-09,9329832.61063348
2020-03-10,9538578.459719047
2020-03-11,9021967.769123748
2020-03-12,9126322.536423221
2020-03-13,9250477.948383221
2020-03-16,8636502.146361722
2020-03-17,8661453.39614451
2020-03-18,8095005.126047409
2020-03-19,8349827.276399829
2020-03-20,8345783.233690629
2020-03-23,8537838.228393128
2020-03-24,8997936.50920343
2020-03-25,9595735.428591868
2020-03-26,9114426.865670484
2020-03-27,9060307.252963115
2020-03-30,9611452.795721032
2020-03-31,9419144.049617542
2020-04-01,8804026.759099178
2020-04-02,8971473.38875142
2020-04-03,8903810.134324541
2020-04-06,9125831.302727357
2020-04-07,9133942.94029215
2020-04-08,8810826.058750398
2020-04-09,8981046.878057286
2020-04-10,8822647.792121638
2020-04-13,8221637.498990178
2020-04-14,8369241.242456536
2020-04-16,8624033.332863584
2020-04-17,8536790.550588636
2020-04-20,8099926.299649698
2020-04-21,8129436.202324097
2020-04-22,8202741.6572823925
2020-04-23,8341085.505518052
2020-04-24,8214578.158157961
2020-04-27,8293460.664464082
2020-04-28,8263165.890753581
2020-04-29,8260077.780360193
2020-05-04,8012065.315775311
2020-05-06,8354297.047914911
2020-05-07,8459314.463638462
2020-05-08,8437940.710695414
2020-05-11,8344299.343399311
2020-05-12,8138564.11603431
2020-05-13,8525810.89044595
2020-05-14,8383580.671660426
2020-05-15,8364292.465770045
2020-05-18,8441480.466371085
2020-05-19,8505675.213566836
2020-05-20,8794388.957764955
2020-05-21,8856715.13819132
2020-05-22,8645277.20349378
2020-05-25,9134980.130756749
2020-05-26,9352515.139659101
2020-05-27,9102492.022998499
2020-05-28,8646339.76295767
2020-05-29,8617900.17170039
2020-06-01,8801272.221709479
2020-06-02,9142556.664031059
2020-06-03,9004745.605186548
2020-06-04,9026011.87209607
2020-06-05,9232151.620355025
2020-06-08,9218367.191566424
2020-06-09,9350225.559904728
2020-06-10,9350812.08076451
2020-06-11,9436736.81491981
2020-06-12,9395805.059390955
2020-06-15,8688100.651966907
2020-06-16,9152158.024076005
2020-06-17,9048263.461809626
2020-06-18,8892822.272431875
2020-06-19,8731343.528099332
2020-06-22,8961643.457604837
2020-06-23,8989031.939309642
2020-06-24,9235985.667069573
2020-06-25,9127266.325092884
2020-06-26,9124197.562637784
2020-06-29,8957500.108997568
2020-06-30,8730197.316944415
2020-07-01,9040778.529140085
2020-07-02,9205333.139212184
2020-07-03,9160873.345060684
2020-07-06,9274761.581170183
2020-07-07,9239908.745012185
2020-07-08,9199123.278864063
2020-07-09,9283633.717683963
2020-07-10,9256964.572125364
2020-07-13,9170541.24223546
2020-07-14,8724070.317169052
2020-07-15,9303134.555128185
2020-07-16,8833346.742467163
2020-07-17,8952910.652174663
2020-07-20,9030283.877598563
2020-07-21,9347427.106506614
2020-07-22,9303867.320633102
2020-07-23,9158816.465990866
2020-07-24,8804340.39417666
2020-07-27,8775925.002226619
2020-07-28,8826136.448437484
2020-07-29,8874302.493956223
2020-07-30,9077742.355364224
2020-07-31,8878888.906810623
2020-08-03,8832870.986827273
2020-08-04,8825660.206716053
2020-08-05,9068929.123411085
2020-08-06,8874160.102265634
2020-08-07,8923918.264966724
2020-08-10,9101500.581260715
2020-08-11,9087120.656702682
