,equity
2020-01-02,10000000.0
2020-01-03,10000000.0
2020-01-06,10000000.0
2020-01-07,10000000.0
2020-01-08,10000000.0
2020-01-09,10000000.0
2020-01-10,10000000.0
2020-01-13,10000000.0
2020-01-14,10000000.0
2020-01-15,10000000.0
2020-01-16,10000000.0
2020-01-17,10000000.0
2020-01-20,10000000.0
2020-01-21,10000000.0
2020-01-22,10000000.0
2020-01-23,10000000.0
2020-01-28,10000000.0
2020-01-29,10000000.0
2020-01-30,10000000.0
2020-01-31,10000000.0
2020-02-03,10000000.0
2020-02-04,9961512.990723152
2020-02-05,10011833.59831105
2020-02-06,10195009.534977352
2020-02-07,10351482.403665613
2020-02-10,10364845.63070713
2020-02-11,10453214.345035631
2020-02-12,10524979.658290047
2020-02-13,10417360.521986997
2020-02-14,10323872.395107143
2020-02-17,10138094.347451309
2020-02-18,10057008.100565609
2020-02-19,10139767.058537407
2020-02-20,10131446.073257407
2020-02-21,10006001.655966459
2020-02-24,9652999.201866368
2020-02-25,9621873.234091269
2020-02-26,9603090.470341584
2020-02-27,9573863.128863983
2020-02-28,9410517.338913478
2020-03-02,9436852.671479218
2020-03-03,9436852.671479218
2020-03-04,9436852.671479218
2020-03-05,9436852.671479218
2020-03-06,9533042.795346718
2020-03-09,9217072.038342968
2020-03-10,9163769.641095968
2020-03-11,9204346.384100169
2020-03-12,9155817.871589769
2020-03-13,9034382.527570687
2020-03-16,8832822.218216587
2020-03-17,8938640.039606452
2020-03-18,8938640.039606452
2020-03-19,8938640.039606452
2020-03-20,8938640.039606452
2020-03-23,8938640.039606452
2020-03-24,8983314.923530452
2020-03-25,8973948.617512152
2020-03-26,8959899.158484701
2020-03-27,8983314.923530452
2020-03-30,9005567.530993
2020-03-31,8898776.5121149
2020-04-01,8679752.382628534
2020-04-02,8830152.100286618
2020-04-03,8687947.71000461
2020-04-06,8738176.94242286
2020-04-07,8747066.657609059
2020-04-08,8685653.541864395
2020-04-09,8725260.415487746
2020-04-10,8691510.256832842
2020-04-13,8381950.289778664
2020-04-14,8492693.448096333
2020-04-16,8457489.765308334
2020-04-17,8503654.918328132
2020-04-20,8542020.617474884
2020-04-21,8437756.186469479
2020-04-22,8359608.788594572
2020-04-23,8473528.953245722
2020-04-24,8874177.66070181
2020-04-27,8987173.943447659
2020-04-28,9050170.175126318
2020-04-29,9257484.647372764
2020-05-04,9228688.023453388
2020-05-06,9324399.80545839
2020-05-07,9366543.852361882
2020-05-08,9271896.530823331
2020-05-11,9272478.810759159
2020-05-12,8988541.49739346
2020-05-13,9170400.031353362
2020-05-14,9086057.62848001
2020-05-15,9022928.4866242
2020-05-18,9484186.420370974
2020-05-19,9493693.521239974
2020-05-20,9898217.545229949
2020-05-21,10110912.8695481
2020-05-22,9870503.262316536
2020-05-25,10454567.091446534
2020-05-26,10611289.398911454
2020-05-27,10325659.862764344
2020-05-28,9834932.56356502
2020-05-29,9867924.055930413
2020-06-01,10149115.199322404
2020-06-02,10384566.242787836
2020-06-03,10357453.65769203
2020-06-04,10500129.97736138
2020-06-05,10567634.52541991
2020-06-08,10380216.597223885
2020-06-09,10609149.795425385
2020-06-10,10258943.62600289
2020-06-11,10183051.639158204
2020-06-12,10341423.940555058
2020-06-15,10193248.06205776
2020-06-16,10142291.353855211
2020-06-17,10453099.309506197
2020-06-18,10290602.770370413
2020-06-19,10026664.982121162
2020-06-22,10045808.180150772
2020-06-23,10033026.92479152
2020-06-24,10126710.095244072
2020-06-25,10156438.289238837
2020-06-26,10302676.794120438
2020-06-29,10214223.848223003
2020-06-30,10269639.83607569
2020-07-01,10146151.699304892
2020-07-02,10301066.529293891
2020-07-03,10478104.668819012
2020-07-06,10533327.448305568
2020-07-07,10607430.257003069
2020-07-08,10629955.936680268
2020-07-09,10613454.72690777
2020-07-10,10822466.86269657
2020-07-13,10857248.772310967
2020-07-14,10611238.245572329
2020-07-15,10904179.18755117
2020-07-16,10749389.47123667
2020-07-17,11131653.206554972
2020-07-20,11012378.603836972
2020-07-21,11694563.885089971
2020-07-22,11708447.09932112
2020-07-23,11518468.161305932
2020-07-24,11470125.319229597
2020-07-27,11945373.122352947
2020-07-28,11973468.7470176
2020-07-29,12021033.066737602
2020-07-30,12279595.059898162
2020-07-31,12106475.470424911
2020-08-03,12285552.92628941
2020-08-04,12286632.484288273
2020-08-05,12209089.032374773
2020-08-06,12041849.904998923
2020-08-07,12093048.065812685
2020-08-10,12300261.956384636
2020-08-11,12116534.826561153
2020-08-12,11847011.091883054
