code,entry_date,exit_date,entry_price,exit_price,shares,pnl_krw,pnl_pct,hold_days,reason
145020,2020-10-23,2020-10-26,219900.0,213303.0,9,-67308.71304735029,-0.03397068711421569,1,stop
241560,2020-10-23,2020-10-26,32150.0,31185.5,62,-67791.65161804995,-0.03397068711421558,1,stop
047050,2020-10-23,2020-10-26,15150.0,14695.5,131,-67497.4672070248,-0.03397068711421547,1,stop
034020,2020-10-26,2020-10-27,13464.0,13060.08,145,-66396.57132437988,-0.03397068711421547,1,stop
086790,2020-10-26,2020-10-27,33050.0,32058.5,59,-66317.328587075,-0.03397068711421558,1,stop
055550,2020-10-26,2020-10-27,31550.0,30603.5,62,-66526.48860185035,-0.0339706871142158,1,stop
039490,2020-10-26,2020-10-27,109000.0,105730.0,17,-63020.082500499906,-0.03397068711421558,1,stop
011200,2020-10-26,2020-10-28,8190.0,9418.5,238,283532.7468928499,0.1452924843491259,2,target
028260,2020-10-27,2020-10-28,120000.0,116400.0,15,-61217.56530000013,-0.03397068711421569,1,stop
043260,2020-11-09,2020-11-10,1230.0,1193.1,1584,-66261.8926807202,-0.03397068711421569,1,stop
078600,2020-11-09,2020-11-10,45600.0,44232.0,42,-65135.48947919998,-0.03397068711421558,1,stop
353200,2020-11-09,2020-11-10,11750.0,11397.5,165,-65936.41929187486,-0.03397068711421547,1,stop
051910,2020-11-09,2020-11-10,739000.0,716830.0,2,-50266.42306299973,-0.03397068711421536,1,stop
011200,2020-11-10,2020-11-11,12950.0,12561.5,146,-64302.25039594993,-0.03397068711421558,1,stop
096770,2020-11-10,2020-11-11,159399.0,154617.03,11,-59632.33644655626,-0.03397068711421547,1,stop
006400,2020-11-10,2020-11-11,515949.0,500470.52999999997,3,-52641.90266494965,-0.03397068711421569,1,stop
003490,2020-11-11,2020-11-12,19307.0,18727.79,95,-62379.508699152386,-0.03397068711421547,1,stop
010950,2020-11-11,2020-11-12,66900.0,64893.0,27,-61431.826778549934,-0.03397068711421558,1,stop
247540,2020-11-10,2020-11-13,36914.0,35806.58,51,-64027.24748871871,-0.03397068711421547,3,stop
087010,2020-11-12,2020-11-13,17923.0,17385.31,99,-60346.133257954614,-0.03397068711421569,1,stop
178320,2020-11-09,2020-11-16,20976.0,21227.0,92,15115.250055000186,0.0078235816203569,5,time
034020,2020-11-12,2020-11-16,15732.0,15260.039999999999,112,-59924.65032086382,-0.03397068711421547,2,stop
011200,2020-11-13,2020-11-16,14400.0,13968.0,123,-60238.08425519988,-0.03397068711421547,1,stop
307950,2020-11-16,2020-11-17,81200.0,78764.0,22,-60755.03258440015,-0.03397068711421569,1,stop
003490,2020-11-16,2020-11-17,18764.0,21578.6,95,259293.3603986497,0.14529248434912567,1,target
