period,start,end,CAGR,Sharpe,Sortino,MDD,Final,N_trades,WinRate,ProfitFactor
A_Baseline FULL  2010-2024,2014-03-03,2024-12-30,0.14629126423405148,0.7216283682446011,0.9054128118575403,-0.2769656707917676,4.385891903168417,1366.0,0.363103953147877,1.2190693357517561
A_Baseline IS    2010-2018,2014-03-03,2018-12-28,0.10764772755987262,0.6581866834668931,0.8387335041646538,-0.2769656707917676,1.637103662089441,525.0,0.3904761904761905,1.1973503785529944
A_Baseline OOS_A 2019-2023,2019-01-02,2023-12-28,0.20590821774020074,0.8760841401336278,1.0460457334088846,-0.2227164864828337,2.543328661229718,650.0,0.3523076923076923,1.280738548265785
A_Baseline OOS_B 2024     ,2024-01-02,2024-12-30,0.05825398848827246,0.34315715744061503,0.5306789035111028,-0.16693738638290279,1.0578849436215287,191.0,0.32460732984293195,1.0910337336907652
B_BoostWEAK_w0.5 FULL  2010-2024,2014-03-03,2024-12-30,0.2059517400424209,0.9603381545903654,1.2637428722425639,-0.2738951958626843,7.597255295762217,1340.0,0.3738805970149254,1.3084691106468196
B_BoostWEAK_w0.5 IS    2010-2018,2014-03-03,2018-12-28,0.13216783907541774,0.7785734673334661,0.9851455860208663,-0.2738951958626843,1.819379031258603,517.0,0.39264990328820115,1.2406093894311736
B_BoostWEAK_w0.5 OOS_A 2019-2023,2019-01-02,2023-12-28,0.2794759131577613,1.1428379080992925,1.4985541602223316,-0.22881320387474324,3.416820177201542,647.0,0.357032457496136,1.3834007435207005
B_BoostWEAK_w0.5 OOS_B 2024     ,2024-01-02,2024-12-30,0.22891292906795746,0.8647835577053179,1.3124390310089118,-0.16264377698997423,1.2273534524516312,176.0,0.3806818181818182,1.2407383092125692
C_BoostWEAK_w1.0 FULL  2010-2024,2014-03-03,2024-12-30,0.20583552462395072,0.959569503629489,1.2639482677251899,-0.2738951958626843,7.589331356290454,1338.0,0.37294469357249627,1.3071565684997144
C_BoostWEAK_w1.0 IS    2010-2018,2014-03-03,2018-12-28,0.13216783907541774,0.7785734673334661,0.9851455860208663,-0.2738951958626843,1.819379031258603,517.0,0.39264990328820115,1.2406093894311736
C_BoostWEAK_w1.0 OOS_A 2019-2023,2019-01-02,2023-12-28,0.2787460106993376,1.140050758670388,1.4979296950918601,-0.22852541038904084,3.4071132710094436,645.0,0.3550387596899225,1.3804715414608235
C_BoostWEAK_w1.0 OOS_B 2024     ,2024-01-02,2024-12-30,0.2311424549443617,0.8703720898329018,1.3217189723211122,-0.16264218818261666,1.2295664199093195,176.0,0.3806818181818182,1.2407383092125694
D_BoostWEAK_w2.0 FULL  2010-2024,2014-03-03,2024-12-30,0.20583552462395072,0.959569503629489,1.2639482677251899,-0.2738951958626843,7.589331356290454,1338.0,0.37294469357249627,1.3071565684997144
D_BoostWEAK_w2.0 IS    2010-2018,2014-03-03,2018-12-28,0.13216783907541774,0.7785734673334661,0.9851455860208663,-0.2738951958626843,1.819379031258603,517.0,0.39264990328820115,1.2406093894311736
D_BoostWEAK_w2.0 OOS_A 2019-2023,2019-01-02,2023-12-28,0.2787460106993376,1.140050758670388,1.4979296950918601,-0.22852541038904084,3.4071132710094436,645.0,0.3550387596899225,1.3804715414608235
D_BoostWEAK_w2.0 OOS_B 2024     ,2024-01-02,2024-12-30,0.2311424549443617,0.8703720898329018,1.3217189723211122,-0.16264218818261666,1.2295664199093195,176.0,0.3806818181818182,1.2407383092125694
E_BoostBULL+WEAK_w1 FULL  2010-2024,2014-03-03,2024-12-30,0.14296505223877576,0.7392473545807138,0.9395914350222022,-0.24568823070028234,4.250033925520069,1328.0,0.3629518072289157,1.2265627585585255
E_BoostBULL+WEAK_w1 IS    2010-2018,2014-03-03,2018-12-28,0.12730256339182477,0.753430111095211,0.9661510501503116,-0.24568823070028234,1.781991839555192,508.0,0.3956692913385827,1.2351955790514892
E_BoostBULL+WEAK_w1 OOS_A 2019-2023,2019-01-02,2023-12-28,0.1467436326989382,0.725574240606383,0.8942845981148078,-0.23386883201196007,1.979141906387509,644.0,0.33229813664596275,1.217321374366482
E_BoostBULL+WEAK_w1 OOS_B 2024     ,2024-01-02,2024-12-30,0.211661785894941,0.8243252068177808,1.2173052842804186,-0.15715740368327968,1.21022959193626,176.0,0.3806818181818182,1.235479368626778
KOSPI_BH FULL  2010-2024,2010-01-04,2024-12-30,0.023416776545512663,0.22510746275266869,0.29864947625022453,-0.4389786736150936,1.4146768545049344,,,
KOSPI_BH IS    2010-2018,2010-01-04,2018-12-28,0.02082652375813332,0.2154201988916058,0.2858331372520023,-0.25852864116000307,1.2033440635796573,,,
KOSPI_BH OOS_A 2019-2023,2019-01-02,2023-12-28,0.057432302929773416,0.39414722776689826,0.5410985380367326,-0.3570889844525307,1.3210348258706468,,,
KOSPI_BH OOS_B 2024     ,2024-01-02,2024-12-30,-0.10184513886368352,-0.4632378356076498,-0.5719558764120236,-0.18357168796582912,0.8987493492046249,,,
