period,start,end,CAGR,Sharpe,Sortino,MDD,Final,N_trades,WinRate,ProfitFactor
A_Baseline FULL  2010-2024,2014-03-03,2024-12-30,0.14629126423405148,0.7216283682446011,0.9054128118575403,-0.2769656707917676,4.385891903168417,1366.0,0.363103953147877,1.2190693357517561
A_Baseline IS    2010-2018,2014-03-03,2018-12-28,0.10764772755987262,0.6581866834668931,0.8387335041646538,-0.2769656707917676,1.637103662089441,525.0,0.3904761904761905,1.1973503785529944
A_Baseline OOS_A 2019-2023,2019-01-02,2023-12-28,0.20590821774020074,0.8760841401336278,1.0460457334088846,-0.2227164864828337,2.543328661229718,650.0,0.3523076923076923,1.280738548265785
A_Baseline OOS_B 2024     ,2024-01-02,2024-12-30,0.05825398848827246,0.34315715744061503,0.5306789035111028,-0.16693738638290279,1.0578849436215287,191.0,0.32460732984293195,1.0910337336907652
B_Foreign_WEAK FULL  2010-2024,2014-03-03,2024-12-30,0.13166529054820564,0.6888434051254965,0.8662162325823181,-0.2585297351011524,3.8165345181807444,1297.0,0.36237471087124135,1.2179679957913299
B_Foreign_WEAK IS    2010-2018,2014-03-03,2018-12-28,0.08108337381363362,0.5375453362260947,0.7010809834615911,-0.2585297351011524,1.4562876778427545,483.0,0.39337474120082816,1.1808098317579925
B_Foreign_WEAK OOS_A 2019-2023,2019-01-02,2023-12-28,0.20376002679802085,0.9321222743098542,1.11271457594431,-0.20856901480703594,2.5208205477403887,632.0,0.34651898734177217,1.3001949665992147
B_Foreign_WEAK OOS_B 2024     ,2024-01-02,2024-12-30,0.0443708105076257,0.2970524634646058,0.4493549489066781,-0.1735488561024372,1.0440915401516697,182.0,0.33516483516483514,1.0659678572584277
C_Foreign_All FULL  2010-2024,2014-03-03,2024-12-30,0.05978617555195531,0.3962019184864555,0.45943473046402983,-0.27187567811478464,1.8752891960247875,1175.0,0.3523404255319149,1.1258496586049604
C_Foreign_All IS    2010-2018,2014-03-03,2018-12-28,0.03898154532706699,0.315747910301078,0.40522039352282974,-0.27187567811478464,1.2024645045670674,437.0,0.39359267734553777,1.1114030627989206
C_Foreign_All OOS_A 2019-2023,2019-01-02,2023-12-28,0.10588410022750816,0.5974390196726944,0.635105935611031,-0.2115287305710335,1.6516567658009105,570.0,0.3280701754385965,1.1836476978139547
C_Foreign_All OOS_B 2024     ,2024-01-02,2024-12-30,-0.052034654632425625,-0.04458560386958271,-0.06048542910823227,-0.21477809090523947,0.9482774505728889,168.0,0.3273809523809524,0.99539870612955
D_SmartMoney_WEAK FULL  2010-2024,2014-03-03,2024-12-30,0.09881802460159084,0.569680910076801,0.6836834310194558,-0.2368392646914773,2.774293914340608,1211.0,0.3435177539223782,1.1789274392205682
D_SmartMoney_WEAK IS    2010-2018,2014-03-03,2018-12-28,0.03247350418250328,0.2870716960986436,0.35499931302897003,-0.2023525133476497,1.1665817591506664,441.0,0.36961451247165533,1.0809081221180257
D_SmartMoney_WEAK OOS_A 2019-2023,2019-01-02,2023-12-28,0.19191662441574353,0.8951477337266939,1.0422727102853677,-0.16022623389725166,2.399570142042286,593.0,0.3305227655986509,1.308980730181574
D_SmartMoney_WEAK OOS_B 2024     ,2024-01-02,2024-12-30,-0.004708365997477371,0.12587372290044324,0.17372003308439993,-0.2368392646914773,0.9953205703422771,177.0,0.3220338983050847,1.019078461326852
KOSPI_BH FULL  2010-2024,2010-01-04,2024-12-30,0.023416776545512663,0.22510746275266869,0.29864947625022453,-0.4389786736150936,1.4146768545049344,,,
KOSPI_BH IS    2010-2018,2010-01-04,2018-12-28,0.02082652375813332,0.2154201988916058,0.2858331372520023,-0.25852864116000307,1.2033440635796573,,,
KOSPI_BH OOS_A 2019-2023,2019-01-02,2023-12-28,0.057432302929773416,0.39414722776689826,0.5410985380367326,-0.3570889844525307,1.3210348258706468,,,
KOSPI_BH OOS_B 2024     ,2024-01-02,2024-12-30,-0.10184513886368352,-0.4632378356076498,-0.5719558764120236,-0.18357168796582912,0.8987493492046249,,,
