,equity
2014-03-03,10000000.0
2014-03-04,10000000.0
2014-03-05,10000000.0
2014-03-06,10000000.0
2014-03-07,10000000.0
2014-03-10,10000000.0
2014-03-11,10000000.0
2014-03-12,10000000.0
2014-03-13,10000000.0
2014-03-14,10000000.0
2014-03-17,10000000.0
2014-03-18,10000000.0
2014-03-19,10000000.0
2014-03-20,10000000.0
2014-03-21,10000000.0
2014-03-24,10000000.0
2014-03-25,10000000.0
2014-03-26,10000000.0
2014-03-27,10000000.0
2014-03-28,10000000.0
2014-03-31,10000000.0
2014-04-01,10000000.0
2014-04-02,10000000.0
2014-04-03,10000000.0
2014-04-04,10000000.0
2014-04-07,10000000.0
2014-04-08,10000000.0
2014-04-09,10000000.0
2014-04-10,10000000.0
2014-04-11,10000000.0
2014-04-14,10000000.0
2014-04-15,10000000.0
2014-04-16,10000000.0
2014-04-17,10000000.0
2014-04-18,10000000.0
2014-04-21,10000000.0
2014-04-22,10000000.0
2014-04-23,10000000.0
2014-04-24,10000000.0
2014-04-25,10000000.0
2014-04-28,10000000.0
2014-04-29,10000000.0
2014-04-30,10000000.0
2014-05-02,10000000.0
2014-05-07,10000000.0
2014-05-08,10000000.0
2014-05-09,10000000.0
2014-05-12,10000000.0
2014-05-13,10000000.0
2014-05-14,10000000.0
2014-05-15,10000000.0
2014-05-16,10000000.0
2014-05-19,10000000.0
2014-05-20,10000000.0
2014-05-21,10000000.0
2014-05-22,10000000.0
2014-05-23,10000000.0
2014-05-26,10000000.0
2014-05-27,10000000.0
2014-05-28,10000000.0
2014-05-29,10000000.0
2014-05-30,9882977.954024998
2014-06-02,9969247.45389
2014-06-03,9968200.5493425
2014-06-05,10110958.8775657
2014-06-09,9916537.7355235
2014-06-10,10158120.43185265
2014-06-11,10145281.393892499
2014-06-12,10124810.92030705
2014-06-13,10161452.57946955
2014-06-16,10127719.3208452
2014-06-17,10312226.9886855
2014-06-18,10263229.953883665
2014-06-19,10307990.607075015
2014-06-20,10261777.210575614
2014-06-23,10425618.769311314
2014-06-24,10498801.385389365
2014-06-25,10439380.408795414
2014-06-26,10435423.109605866
2014-06-27,10380565.036218114
2014-06-30,10432455.607903916
2014-07-01,10580068.216463067
2014-07-02,10609964.708647916
2014-07-03,10855297.081988716
2014-07-04,10712453.437320014
2014-07-07,10930333.217641816
2014-07-08,11111521.486203616
2014-07-09,11295613.736739814
2014-07-10,11371490.119416706
2014-07-11,11280480.617415056
2014-07-14,11548587.886770055
2014-07-15,11353180.660349306
2014-07-16,11353394.342374155
2014-07-17,11448895.966352956
2014-07-18,11408151.457899656
2014-07-21,11275548.533809407
2014-07-22,11506446.821442354
2014-07-23,11368760.926511006
2014-07-24,11328786.574207507
2014-07-25,11367271.383604776
2014-07-28,11384626.164729776
2014-07-29,11280100.491075777
2014-07-30,11308847.492898175
2014-07-31,11366375.396309275
2014-08-01,11426379.734782524
2014-08-04,11321593.563045327
2014-08-05,11178406.932505824
2014-08-06,11304086.327855276
