period,CAGR,Sharpe,Sortino,MDD,Calmar,Final,N_trades,WinRate,ProfitFactor
A_Baseline FULL  2010-2024,0.027268184723652222,0.24306397625459653,0.2557050786351241,-0.2873779974626417,0.09488612546684966,1.337787018740872,981.0,0.3486238532110092,1.0957436327114134
A_Baseline IS    2010-2018,-0.03238030087450616,-0.15962549539682552,-0.18242259250377282,-0.2873779974626417,-0.11267494784013696,0.8535595785342913,364.0,0.37362637362637363,0.9584675475668043
A_Baseline OOS_A 2019-2023,0.09520570319247179,0.5811027564408682,0.5714886309904602,-0.26209224868602665,0.3632526473780743,1.5736595564919982,479.0,0.33611691022964507,1.2153489603312482
A_Baseline OOS_B 2024     ,-0.00406393551503248,0.11515518912784807,0.1327618359837767,-0.2642183903760451,-0.015380971435215166,0.9959610483703245,138.0,0.32608695652173914,1.0364277906962769
B_InstWEAK_w0.5 FULL  2010-2024,0.07413084428824557,0.5063948557873866,0.5425129290634161,-0.2299264114380526,0.32241117418656406,2.167471105821325,959.0,0.3660062565172054,1.1861027203328678
B_InstWEAK_w0.5 IS    2010-2018,0.007067144126058134,0.12233306778891256,0.14289592367777243,-0.2299264114380526,0.030736547758290843,1.0344565884331725,364.0,0.3956043956043956,1.044224205455233
B_InstWEAK_w0.5 OOS_A 2019-2023,0.1459335639555006,0.8543292632303592,0.8823848067160507,-0.21893427286503153,0.6665633573299218,1.9721814002626976,465.0,0.34838709677419355,1.3221016047463865
B_InstWEAK_w0.5 OOS_B 2024     ,0.06281376025915875,0.3740149937654775,0.4044350634779326,-0.21813893805032358,0.28795299372305516,1.0624149860817793,130.0,0.34615384615384615,1.1067800573676567
C_InstWEAK_w1.0 FULL  2010-2024,0.07267527065713342,0.49911126258726807,0.5352166177285149,-0.2299264114380526,0.31608056770247894,2.1359094201344684,959.0,0.3660062565172054,1.1848074751463822
C_InstWEAK_w1.0 IS    2010-2018,0.007067144126058134,0.12233306778891256,0.14289592367777243,-0.2299264114380526,0.030736547758290843,1.0344565884331725,364.0,0.3956043956043956,1.044224205455233
C_InstWEAK_w1.0 OOS_A 2019-2023,0.14589389325063284,0.8543523331319997,0.8826317534176991,-0.21893427286503153,0.6663821581766388,1.9718410335379268,465.0,0.34838709677419355,1.3221016047463863
C_InstWEAK_w1.0 OOS_B 2024     ,0.04742423891241199,0.31546185162837254,0.3416324441271103,-0.22213000485451972,0.21349767197579492,1.04712532016914,130.0,0.34615384615384615,1.098025338762337
D_InstWEAK_w2.0 FULL  2010-2024,0.07551442364417738,0.5151048345654617,0.5558165721850684,-0.2299264114380526,0.32842866190047365,2.1978634821848213,958.0,0.3663883089770355,1.1893867104841793
D_InstWEAK_w2.0 IS    2010-2018,0.007067144126058134,0.12233306778891273,0.14289592367777262,-0.2299264114380526,0.030736547758290843,1.0344565884331725,364.0,0.3956043956043956,1.044224205455233
D_InstWEAK_w2.0 OOS_A 2019-2023,0.1506261337778667,0.8798049338988861,0.9228016346540359,-0.21893427286503153,0.687997049556168,2.012775407541504,464.0,0.34913793103448276,1.3328535014359397
D_InstWEAK_w2.0 OOS_B 2024     ,0.0559387906569242,0.3485193877706485,0.3761458341312733,-0.21767360965986315,0.25698471553044105,1.0555847946836567,130.0,0.34615384615384615,1.0980253387623367
KOSPI_BH FULL  2010-2024,0.023416776545512663,0.22510746275266869,0.29864947625022453,-0.4389786736150936,0.05334376805294423,1.4146768545049344,,,
KOSPI_BH IS    2010-2018,0.02082652375813332,0.2154201988916058,0.2858331372520023,-0.25852864116000307,0.0805578974332821,1.2033440635796573,,,
KOSPI_BH OOS_A 2019-2023,0.057432302929773416,0.39414722776689826,0.5410985380367326,-0.3570889844525307,0.16083470907909828,1.3210348258706468,,,
KOSPI_BH OOS_B 2024     ,-0.10184513886368352,-0.4632378356076498,-0.5719558764120236,-0.18357168796582912,-0.5547976378723577,0.8987493492046249,,,
