Date,equity
2020-01-02,10000000.0
2020-01-03,10005930.570943879
2020-01-06,9907593.429479076
2020-01-07,10001701.016472274
2020-01-08,9890307.4242473
2020-01-09,10051858.015695322
2020-01-10,10143529.011525536
2020-01-13,10248670.218879445
2020-01-14,10292896.647158613
2020-01-15,10256577.646804616
2020-01-16,10335054.27162015
2020-01-17,10346639.572998893
2020-01-20,10402129.488729615
2020-01-21,10296620.49403035
2020-01-22,10423323.234505808
2020-01-23,10326227.375331583
2020-01-28,10007125.87981629
2020-01-29,10046479.125769481
2020-01-30,9875090.222833157
2020-01-31,9741813.283559445
2020-02-03,9741215.62912324
2020-02-04,9920603.906821076
2020-02-05,9956141.359066188
2020-02-06,10242601.727681056
2020-02-07,10169090.23202784
2020-02-10,10119071.153059302
2020-02-11,10220442.5401233
2020-02-12,10290597.976250133
2020-02-13,10265680.3836022
2020-02-14,10314550.127116501
2020-02-17,10308021.901736414
2020-02-18,10154976.39264977
2020-02-19,10161688.511702534
2020-02-20,10093463.959138826
2020-02-21,9943314.775396865
2020-02-24,9558057.531135496
2020-02-25,9671014.21957824
2020-02-26,9547621.565210994
2020-02-27,9447031.726255877
2020-02-28,9134964.163720537
2020-03-02,9206222.961883439
2020-03-03,9259736.02063287
2020-03-04,9467443.923923187
2020-03-05,9586652.997236999
2020-03-06,9379588.721801054
2020-03-09,8986745.8635417
2020-03-10,9024260.172768107
2020-03-11,8772969.469052993
2020-03-12,8433042.015106864
2020-03-13,8143915.188238161
2020-03-16,7883797.588234482
2020-03-17,7688778.3483589785
2020-03-18,7315290.299149032
2020-03-19,6701269.326075663
2020-03-20,7200126.886634149
2020-03-23,6815375.349972646
2020-03-24,7401582.405053399
2020-03-25,7837364.435883172
2020-03-26,7752221.665433046
2020-03-27,7896991.959249162
2020-03-30,7894187.580740815
2020-03-31,8066679.845713208
2020-04-01,7748635.738815817
2020-04-02,7929771.006404096
2020-04-03,7932437.464657934
2020-04-06,8237884.854976852
2020-04-07,8383712.537410867
2020-04-08,8308040.291103684
2020-04-09,8441685.017722752
2020-04-10,8554273.918820137
2020-04-13,8393642.795735504
2020-04-14,8537631.541442737
2020-04-16,8537585.568024566
2020-04-17,8801748.828827173
2020-04-20,8727409.811646905
2020-04-21,8640152.263960978
2020-04-22,8717249.686231421
2020-04-23,8802668.297190564
2020-04-24,8684424.665658316
2020-04-27,8839630.925398933
2020-04-28,8891672.834766937
2020-04-29,8953599.029041408
2020-05-04,8713663.75961419
2020-05-06,8867169.002882533
2020-05-07,8866479.401609987
2020-05-08,8945599.654279895
2020-05-11,8897695.352547158
2020-05-12,8836872.520308757
2020-05-13,8920774.008468304
2020-05-14,8849699.103978079
2020-05-15,8860364.93699343
2020-05-18,8905556.80705416
2020-05-19,9105541.176091982
2020-05-20,9147055.172699146
2020-05-21,9186914.1262522
2020-05-22,9057361.033850228
2020-05-25,9169857.988111272
2020-05-26,9331592.473231977
2020-05-27,9338120.698612062
2020-05-28,9325891.769378945
2020-05-29,9330764.951704925
2020-06-01,9493878.639370715
2020-06-02,9595525.866943732
2020-06-03,9870492.881016197
2020-06-04,9889709.769811094
2020-06-05,10030802.19017364
2020-06-08,10041927.757370688
2020-06-09,10063213.449983219
2020-06-10,10094337.454084048
2020-06-11,10007401.720325308
2020-06-12,9802911.956306864
2020-06-15,9336373.708721617
2020-06-16,9829346.671754392
2020-06-17,9843138.697205275
2020-06-18,9808336.819650877
2020-06-19,9844379.979495857
2020-06-22,9777304.76238639
2020-06-23,9798038.773980882
2020-06-24,9937200.310780307
