,equity
2014-03-07,10000000.0
2014-03-10,10000000.0
2014-03-11,10000000.0
2014-03-12,10000000.0
2014-03-13,10000000.0
2014-03-14,10000000.0
2014-03-17,10000000.0
2014-03-18,10000000.0
2014-03-19,10000000.0
2014-03-20,10000000.0
2014-03-21,10000000.0
2014-03-24,10000000.0
2014-03-25,10000000.0
2014-03-26,10000000.0
2014-03-27,10000000.0
2014-03-28,10000000.0
2014-03-31,10000000.0
2014-04-01,10000000.0
2014-04-02,10000000.0
2014-04-03,10000000.0
2014-04-04,10000000.0
2014-04-07,10000000.0
2014-04-08,10000000.0
2014-04-09,10000000.0
2014-04-10,10000000.0
2014-04-11,10000000.0
2014-04-14,10000000.0
2014-04-15,10000000.0
2014-04-16,10000000.0
2014-04-17,10000000.0
2014-04-18,10000000.0
2014-04-21,10000000.0
2014-04-22,10000000.0
2014-04-23,10000000.0
2014-04-24,10000000.0
2014-04-25,10000000.0
2014-04-28,10000000.0
2014-04-29,10000000.0
2014-04-30,10000000.0
2014-05-02,10000000.0
2014-05-07,10000000.0
2014-05-08,10000000.0
2014-05-09,10000000.0
2014-05-12,10000000.0
2014-05-13,10000000.0
2014-05-14,10000000.0
2014-05-15,10000000.0
2014-05-16,10000000.0
2014-05-19,10000000.0
2014-05-20,10000000.0
2014-05-21,10000000.0
2014-05-22,10000000.0
2014-05-23,10000000.0
2014-05-26,10000000.0
2014-05-27,10000000.0
2014-05-28,10000000.0
2014-05-29,10000000.0
2014-05-30,10000000.0
2014-06-02,10000000.0
2014-06-03,10000000.0
2014-06-05,10000000.0
2014-06-09,9813444.4492573
2014-06-10,9880714.547271851
2014-06-11,9821438.8117924
2014-06-12,9824850.723565303
2014-06-13,9755097.96619525
2014-06-16,9636428.011949044
2014-06-17,9759009.667137211
2014-06-18,9795392.09279271
2014-06-19,9873174.10951611
2014-06-20,9785550.192994261
2014-06-23,9982374.23023596
2014-06-24,9961248.693519361
2014-06-25,9936561.99500441
2014-06-26,10021860.78637886
2014-06-27,9944075.77849961
2014-06-30,10042282.849570962
2014-07-01,10224231.712697512
2014-07-02,10225524.889076661
2014-07-03,10655043.901565213
2014-07-04,10499308.37518301
2014-07-07,10511331.82464806
2014-07-08,10778907.44873031
2014-07-09,10658858.294342212
2014-07-10,10823359.901468813
2014-07-11,10717652.142971462
2014-07-14,11188883.143053621
2014-07-15,11059042.052864872
2014-07-16,10859018.475915622
2014-07-17,10991699.170057971
2014-07-18,10943414.935275322
2014-07-21,10929805.176157821
2014-07-22,10971541.515985271
2014-07-23,10824166.61729237
2014-07-24,10809230.77908137
2014-07-25,11060109.542222373
2014-07-28,11098898.595613873
2014-07-29,10965847.995198071
2014-07-30,11007623.753616912
2014-07-31,11073594.692940611
2014-08-01,11059897.193251513
2014-08-04,10965655.842937512
2014-08-05,10836434.004619362
2014-08-06,10750199.194424113
2014-08-07,10627530.204507593
2014-08-08,10340229.808439331
2014-08-11,10229985.77432783
