,equity
2014-03-03,10000000.0
2014-03-04,10000000.0
2014-03-05,10000000.0
2014-03-06,10000000.0
2014-03-07,10000000.0
2014-03-10,10000000.0
2014-03-11,10000000.0
2014-03-12,10000000.0
2014-03-13,10000000.0
2014-03-14,10000000.0
2014-03-17,10000000.0
2014-03-18,10000000.0
2014-03-19,10000000.0
2014-03-20,10000000.0
2014-03-21,10000000.0
2014-03-24,10000000.0
2014-03-25,10000000.0
2014-03-26,10000000.0
2014-03-27,10000000.0
2014-03-28,10000000.0
2014-03-31,10000000.0
2014-04-01,10019539.238441799
2014-04-02,10074114.797017898
2014-04-03,10193747.4398524
2014-04-04,10181706.043452248
2014-04-07,10138962.16199847
2014-04-08,10233912.41624892
2014-04-09,10205781.59253162
2014-04-10,10164729.715813618
2014-04-11,10193632.257740218
2014-04-14,10259645.07324582
2014-04-15,10272008.51742582
2014-04-16,10251245.204207819
2014-04-17,10315076.47004682
2014-04-18,10297527.371688321
2014-04-21,10233443.502737788
2014-04-22,10160866.114692539
2014-04-23,10065892.930320412
2014-04-24,10059777.699598392
2014-04-25,9993625.097409401
2014-04-28,10018870.452783402
2014-04-29,9868980.8901822
2014-04-30,9904125.76467133
2014-05-02,9989894.167514231
2014-05-07,9860772.94883338
2014-05-08,9879260.28609028
2014-05-09,9948260.26923808
2014-05-12,9908665.34219968
2014-05-13,9908665.34219968
2014-05-14,9908665.34219968
2014-05-15,9871829.65685953
2014-05-16,9879249.038401779
2014-05-19,10023048.567534197
2014-05-20,9884588.677179769
2014-05-21,9788764.35452267
2014-05-22,9792538.90220045
2014-05-23,9761890.522309398
2014-05-26,9801513.057400849
2014-05-27,9685058.625985267
2014-05-28,9882068.930958465
2014-05-29,9785560.729878465
2014-05-30,9727586.212979637
2014-06-02,9610810.624566363
2014-06-03,9621256.092571126
2014-06-05,9569161.818567626
2014-06-09,9536927.567726985
2014-06-10,9501823.362671385
2014-06-11,9505340.961950984
2014-06-12,9564913.733913783
2014-06-13,9572865.193519985
2014-06-16,9446066.710973434
2014-06-17,9569381.423574433
2014-06-18,9694164.469220834
2014-06-19,9658606.65538058
2014-06-20,9610083.586138131
2014-06-23,9522333.113812266
2014-06-24,9488128.249615567
2014-06-25,9488128.249615567
2014-06-26,9488128.249615567
2014-06-27,9488128.249615567
2014-06-30,9488128.249615567
2014-07-01,9488128.249615567
2014-07-02,9488128.249615567
2014-07-03,9545115.632431367
2014-07-04,9440418.946750518
2014-07-07,9476196.042226132
2014-07-08,9610887.790151633
2014-07-09,9720384.035300633
2014-07-10,9808031.637036633
2014-07-11,9791306.090575382
2014-07-14,9921276.905012883
2014-07-15,9751284.010216434
2014-07-16,9679593.901143378
2014-07-17,9626650.990292627
2014-07-18,9656320.965395587
2014-07-21,9655526.121598586
2014-07-22,9657421.218239952
2014-07-23,9686734.545569953
2014-07-24,9698620.531627452
2014-07-25,9596244.96729595
2014-07-28,9600646.099203432
2014-07-29,9716192.20741963
