code,entry_date,exit_date,entry_price,exit_price,shares,pnl_krw,pnl_pct,hold_days,reason
000500,2014-04-01,2014-04-07,23770.0,23056.899999999998,84,-67906.60460177995,-0.03397068711421558,4,stop
131970,2014-04-02,2014-04-09,7094.0,7170.0,281,13123.632189399796,0.006575932237068871,5,time
086520,2014-04-02,2014-04-09,1010.0,1054.0,1978,78588.12331639975,0.03929253422641277,5,time
039030,2014-04-03,2014-04-10,54900.0,56500.0,36,49330.509839999955,0.024931105816514032,5,time
031980,2014-04-07,2014-04-14,11103.0,11781.0,178,112228.80553499982,0.05672111792089485,5,time
068270,2014-04-07,2014-04-14,33551.0,35705.0,58,116588.76914179977,0.059844471782362074,5,time
030200,2014-04-10,2014-04-17,32700.0,31900.0,62,-57762.467399999965,-0.02845817708450693,5,time
080220,2014-04-18,2014-04-21,3995.0,3875.15,511,-69429.05144103244,-0.03397068711421558,1,stop
058610,2014-04-16,2014-04-23,6730.0,6950.0,306,58681.78615800035,0.02846214435382466,5,time
005290,2014-04-22,2014-04-23,4135.0,4010.95,489,-68768.2418333774,-0.03397068711421558,1,stop
080220,2014-04-23,2014-04-24,4030.0,3909.1,504,-69077.90068452014,-0.03397068711421569,1,stop
067310,2014-04-24,2014-04-25,4106.0,3982.8199999999997,490,-68425.59351649019,-0.03397068711421569,1,stop
098460,2014-04-22,2014-04-29,4800.0,4770.0,422,-20923.991607000353,-0.01031790754613604,5,time
084370,2014-04-29,2014-04-30,21769.0,21115.93,91,-67372.61738357134,-0.03397068711421547,1,stop
064760,2014-04-29,2014-05-07,9850.0,9554.5,202,-67669.21648745006,-0.03397068711421558,3,stop
003670,2014-04-30,2014-05-12,13544.0,13857.0,146,37459.40097429999,0.018921772235152234,5,time
068270,2014-05-16,2014-05-19,35979.0,34899.63,55,-67300.04055893281,-0.03397068711421569,1,stop
028300,2014-05-15,2014-05-20,1992.0,1932.24,993,-67273.2068594764,-0.0339706871142158,3,stop
034730,2014-05-15,2014-05-22,158000.0,168000.0,12,111876.04680000013,0.05893856560623645,5,time
028050,2014-05-21,2014-05-22,53298.0,51699.06,37,-67068.12801572122,-0.03397068711421569,1,stop
032830,2014-05-19,2014-05-26,103500.0,102500.0,19,-27003.09735000017,-0.013715776973027616,5,time
016360,2014-05-20,2014-05-27,41902.0,40644.94,46,-65553.53743068199,-0.03397068711421558,5,stop
180640,2014-05-22,2014-05-29,23671.0,23965.0,83,16278.356831300072,0.00827592697087809,5,time
035720,2014-05-29,2014-05-30,21054.0,20422.38,92,-65875.81390222814,-0.03397068711421569,1,stop
082740,2014-05-26,2014-06-02,4959.0,5114.0,395,53016.93098775041,0.027034862386601688,5,time
000250,2014-05-30,2014-06-02,7350.0,7129.5,261,-65242.62021847512,-0.03397068711421569,1,stop
011070,2014-05-30,2014-06-02,132000.0,128040.0,14,-62850.033707999624,-0.03397068711421536,1,stop
035720,2014-06-02,2014-06-03,19730.0,19138.1,97,-65088.21591488505,-0.03397068711421558,1,stop
086520,2014-05-28,2014-06-05,977.0,1004.0,1976,45282.927430000156,0.023429001189553267,5,time
086280,2014-06-05,2014-06-09,139804.0,135609.88,13,-61811.1036053421,-0.03397068711421569,1,stop
180640,2014-06-03,2014-06-12,26263.0,26263.0,72,-7749.433915199945,-0.004093491870325261,5,time
047050,2014-06-12,2014-06-16,34900.0,33853.0,54,-64094.79086910025,-0.03397068711421569,2,stop
028300,2014-06-12,2014-06-19,2065.0,2188.0,920,105040.63830199977,0.055226847354831854,5,time
066970,2014-06-17,2014-06-19,5535.0,5368.95,339,-63814.7205078525,-0.03397068711421558,2,stop
067310,2014-06-13,2014-06-20,4805.0,5314.0,396,193171.80625380017,0.10140420066620015,5,time
095340,2014-06-16,2014-06-23,14301.0,13871.97,131,-63714.935876413714,-0.03397068711421569,5,stop
064760,2014-06-20,2014-06-23,11100.0,10767.0,177,-66818.97252494982,-0.03397068711421547,1,stop
086520,2014-06-17,2014-06-24,1106.0,1072.82,1700,-63945.14793170011,-0.03397068711421569,5,stop
141080,2014-07-03,2014-07-07,8607.0,8348.789999999999,220,-64398.83811009023,-0.03397068711421569,2,stop
131970,2014-07-03,2014-07-07,5836.0,5660.92,324,-64307.827996344306,-0.03397068711421569,2,stop
000250,2014-07-03,2014-07-09,8590.0,9878.5,220,274889.5379064998,0.14529248434912567,4,target
080220,2014-07-03,2014-07-10,3490.0,3580.0,543,40959.552922500065,0.021588910918119097,5,time
047040,2014-07-04,2014-07-11,9330.0,9260.0,204,-22038.08786999993,-0.011565459241073106,5,time
000250,2014-07-14,2014-07-16,9850.0,9554.5,195,-65324.24363887496,-0.03397068711421558,2,stop
058470,2014-07-15,2014-07-16,7498.0,7273.0599999999995,257,-65536.32849288126,-0.03397068711421569,1,stop
095340,2014-07-10,2014-07-17,16741.0,18348.0,115,176370.26950674993,0.09150544239670699,5,time
011200,2014-07-17,2014-07-18,64508.0,62572.759999999995,30,-65817.04503954016,-0.03397068711421569,1,stop
036930,2014-07-21,2014-07-22,4195.0,4069.15,458,-65343.28910363512,-0.03397068711421569,1,stop
005940,2014-07-18,2014-07-25,9800.0,10800.0,196,187550.35963999992,0.09752962120413122,5,time
000990,2014-07-25,2014-07-28,4800.0,4656.0,409,-66767.95788719994,-0.03397068711421558,1,stop
001440,2014-07-25,2014-07-28,48408.0,46955.76,40,-65853.77557872003,-0.03397068711421558,1,stop
010140,2014-07-24,2014-07-30,21001.0,20370.97,90,-64281.5044432648,-0.03397068711421547,4,stop
039030,2014-07-29,2014-07-30,72700.0,70519.0,26,-64285.24551669974,-0.03397068711421547,1,stop
039490,2014-07-29,2014-07-30,47800.0,46366.0,40,-65026.65825200011,-0.03397068711421569,1,stop
007660,2014-07-28,2014-08-01,3740.0,4301.0,516,280713.7399901997,0.14529248434912567,4,target
095340,2014-08-01,2014-08-04,19983.0,19383.51,112,-76117.10445981612,-0.03397068711421569,1,stop
039490,2014-08-04,2014-08-05,51000.0,49470.0,42,-72848.9027069998,-0.03397068711421547,1,stop
024110,2014-07-30,2014-08-06,15250.0,16050.0,122,89687.56922000018,0.0481507839659856,5,time
138040,2014-07-30,2014-08-06,7573.0,7413.0,247,-47069.30320820003,-0.02513469632044396,5,time
055550,2014-07-30,2014-08-06,51400.0,50900.0,36,-25530.24438000028,-0.01378129836964137,5,time
007660,2014-08-05,2014-08-06,4377.0,4245.69,478,-71155.42079225113,-0.03397068711421569,1,stop
030200,2014-07-31,2014-08-07,33500.0,33650.0,56,687.013180000009,0.0003657910018970423,5,time
035720,2014-08-06,2014-08-07,29143.0,33514.45,65,275543.37877478753,0.1452924843491259,1,target
095340,2014-08-06,2014-08-08,19681.0,19090.57,96,-64257.22147569596,-0.03397068711421558,2,stop
031980,2014-08-07,2014-08-08,11653.0,11303.41,169,-66977.35597028467,-0.03397068711421569,1,stop
035720,2014-08-11,2014-08-12,32314.0,31344.579999999998,59,-64840.48883397132,-0.0339706871142158,1,stop
000990,2014-08-11,2014-08-13,5200.0,5979.999999999999,372,281377.03573200013,0.1452924843491259,2,target
034730,2014-08-07,2014-08-14,190000.0,201500.0,10,106874.39425000013,0.05618505993752354,5,time
131970,2014-08-13,2014-08-18,7044.0,6832.679999999999,282,-67557.25636246824,-0.03397068711421569,2,stop
058470,2014-08-14,2014-08-18,8038.0,7796.86,262,-71623.0549716265,-0.0339706871142158,1,stop
000990,2014-08-18,2014-08-19,6480.0,6285.599999999999,307,-67657.65316956025,-0.03397068711421569,1,stop
011200,2014-08-13,2014-08-21,69735.0,74651.0,28,129240.14345759992,0.06611338263982702,5,time
090430,2014-08-13,2014-08-21,200051.0,216456.0,9,139831.09408395016,0.07757491401551042,5,time
035720,2014-08-14,2014-08-22,34723.0,33681.31,60,-70855.25066373008,-0.03397068711421558,5,stop
086280,2014-08-21,2014-08-22,162063.0,157201.11,12,-66140.68190142605,-0.03397068711421558,1,stop
131290,2014-08-18,2014-08-25,8470.0,8600.0,235,22302.6748825002,0.011191968112774786,5,time
066970,2014-08-19,2014-08-25,6591.0,6393.2699999999995,292,-65454.22893586196,-0.03397068711421558,4,stop
