Date,regime3
2020-01-02,BEAR
2020-01-03,BEAR
2020-01-06,BEAR
2020-01-07,BEAR
2020-01-08,BEAR
2020-01-09,BEAR
2020-01-10,BEAR
2020-01-13,BEAR
2020-01-14,BEAR
2020-01-15,BEAR
2020-01-16,BEAR
2020-01-17,BEAR
2020-01-20,BEAR
2020-01-21,BEAR
2020-01-22,BEAR
2020-01-23,BEAR
2020-01-28,BEAR
2020-01-29,BEAR
2020-01-30,BEAR
2020-01-31,BEAR
2020-02-03,BEAR
2020-02-04,BEAR
2020-02-05,BEAR
2020-02-06,BEAR
2020-02-07,BEAR
2020-02-10,BEAR
2020-02-11,BEAR
2020-02-12,BEAR
2020-02-13,BEAR
2020-02-14,BEAR
2020-02-17,BEAR
2020-02-18,BEAR
2020-02-19,BEAR
2020-02-20,BEAR
2020-02-21,BEAR
2020-02-24,BEAR
2020-02-25,BEAR
2020-02-26,BEAR
2020-02-27,BEAR
2020-02-28,BEAR
2020-03-02,BEAR
2020-03-03,BEAR
2020-03-04,BEAR
2020-03-05,BEAR
2020-03-06,BEAR
2020-03-09,BEAR
2020-03-10,BEAR
2020-03-11,BEAR
2020-03-12,BEAR
2020-03-13,BEAR
2020-03-16,BEAR
2020-03-17,BEAR
2020-03-18,BEAR
2020-03-19,BEAR
2020-03-20,BEAR
2020-03-23,BEAR
2020-03-24,BEAR
2020-03-25,BEAR
2020-03-26,BEAR
2020-03-27,BEAR
2020-03-30,BEAR
2020-03-31,BEAR
2020-04-01,BEAR
2020-04-02,BEAR
2020-04-03,BEAR
2020-04-06,BEAR
2020-04-07,BEAR
2020-04-08,BEAR
2020-04-09,BEAR
2020-04-10,BEAR
2020-04-13,BEAR
2020-04-14,BEAR
2020-04-16,BEAR
2020-04-17,BEAR
2020-04-20,BEAR
2020-04-21,BEAR
2020-04-22,BEAR
2020-04-23,BEAR
2020-04-24,BEAR
2020-04-27,BEAR
2020-04-28,BEAR
2020-04-29,BEAR
2020-05-04,BEAR
2020-05-06,BEAR
2020-05-07,BEAR
2020-05-08,BEAR
2020-05-11,BEAR
2020-05-12,BEAR
2020-05-13,BEAR
2020-05-14,BEAR
2020-05-15,BEAR
2020-05-18,BEAR
2020-05-19,BEAR
2020-05-20,BEAR
2020-05-21,BEAR
2020-05-22,BEAR
2020-05-25,BEAR
2020-05-26,BEAR
2020-05-27,BEAR
2020-05-28,BEAR
2020-05-29,BEAR
2020-06-01,BEAR
2020-06-02,BEAR
2020-06-03,BEAR
2020-06-04,BEAR
2020-06-05,BEAR
2020-06-08,BEAR
2020-06-09,BEAR
2020-06-10,BEAR
2020-06-11,BEAR
2020-06-12,BEAR
2020-06-15,BEAR
2020-06-16,BEAR
2020-06-17,BEAR
2020-06-18,BEAR
2020-06-19,BEAR
2020-06-22,BEAR
2020-06-23,BEAR
2020-06-24,BEAR
2020-06-25,BEAR
2020-06-26,BEAR
2020-06-29,BEAR
2020-06-30,BEAR
2020-07-01,BEAR
2020-07-02,BEAR
2020-07-03,BEAR
2020-07-06,BEAR
2020-07-07,BEAR
2020-07-08,BEAR
2020-07-09,BEAR
2020-07-10,BEAR
2020-07-13,BEAR
2020-07-14,BEAR
2020-07-15,BEAR
2020-07-16,BEAR
2020-07-17,BEAR
2020-07-20,BEAR
2020-07-21,BEAR
2020-07-22,BEAR
2020-07-23,BEAR
2020-07-24,BEAR
2020-07-27,BEAR
2020-07-28,BEAR
2020-07-29,BEAR
2020-07-30,BEAR
2020-07-31,BEAR
2020-08-03,BEAR
2020-08-04,BEAR
2020-08-05,BEAR
2020-08-06,BEAR
2020-08-07,BEAR
2020-08-10,BEAR
2020-08-11,BEAR
2020-08-12,BEAR
2020-08-13,BEAR
2020-08-14,BEAR
2020-08-18,BEAR
2020-08-19,BEAR
2020-08-20,BEAR
2020-08-21,BEAR
2020-08-24,BEAR
2020-08-25,BEAR
2020-08-26,BEAR
2020-08-27,BEAR
2020-08-28,BEAR
2020-08-31,BEAR
2020-09-01,BEAR
2020-09-02,BEAR
2020-09-03,BEAR
2020-09-04,BEAR
2020-09-07,BEAR
2020-09-08,BEAR
2020-09-09,BEAR
2020-09-10,BEAR
2020-09-11,BEAR
2020-09-14,BEAR
2020-09-15,BEAR
2020-09-16,BEAR
2020-09-17,BEAR
2020-09-18,BEAR
2020-09-21,BEAR
2020-09-22,BEAR
2020-09-23,BEAR
2020-09-24,BEAR
2020-09-25,BEAR
2020-09-28,BEAR
2020-09-29,BEAR
2020-10-05,BEAR
2020-10-06,BEAR
2020-10-07,BEAR
2020-10-08,BEAR
2020-10-12,BEAR
2020-10-13,BEAR
2020-10-14,BEAR
2020-10-15,BEAR
2020-10-16,BEAR
2020-10-19,BEAR
2020-10-20,BEAR
2020-10-21,BEAR
2020-10-22,STRONG_BULL
2020-10-23,WEAK
2020-10-26,WEAK
2020-10-27,WEAK
2020-10-28,WEAK
2020-10-29,WEAK
2020-10-30,WEAK
2020-11-02,WEAK
2020-11-03,WEAK
2020-11-04,WEAK
2020-11-05,WEAK
2020-11-06,WEAK
2020-11-09,WEAK
2020-11-10,WEAK
2020-11-11,WEAK
2020-11-12,WEAK
2020-11-13,WEAK
2020-11-16,WEAK
2020-11-17,WEAK
2020-11-18,WEAK
2020-11-19,WEAK
2020-11-20,WEAK
2020-11-23,WEAK
2020-11-24,WEAK
2020-11-25,WEAK
2020-11-26,STRONG_BULL
2020-11-27,STRONG_BULL
2020-11-30,STRONG_BULL
2020-12-01,STRONG_BULL
2020-12-02,STRONG_BULL
2020-12-03,STRONG_BULL
2020-12-04,STRONG_BULL
2020-12-07,STRONG_BULL
2020-12-08,STRONG_BULL
2020-12-09,STRONG_BULL
2020-12-10,STRONG_BULL
2020-12-11,STRONG_BULL
2020-12-14,STRONG_BULL
2020-12-15,STRONG_BULL
2020-12-16,STRONG_BULL
2020-12-17,STRONG_BULL
2020-12-18,STRONG_BULL
2020-12-21,STRONG_BULL
2020-12-22,STRONG_BULL
2020-12-23,STRONG_BULL
2020-12-24,STRONG_BULL
2020-12-28,STRONG_BULL
2020-12-29,STRONG_BULL
2020-12-30,STRONG_BULL
2021-01-04,STRONG_BULL
2021-01-05,STRONG_BULL
2021-01-06,STRONG_BULL
2021-01-07,STRONG_BULL
2021-01-08,STRONG_BULL
2021-01-11,STRONG_BULL
2021-01-12,STRONG_BULL
2021-01-13,STRONG_BULL
2021-01-14,STRONG_BULL
2021-01-15,STRONG_BULL
2021-01-18,STRONG_BULL
2021-01-19,STRONG_BULL
2021-01-20,STRONG_BULL
2021-01-21,STRONG_BULL
2021-01-22,STRONG_BULL
2021-01-25,STRONG_BULL
2021-01-26,STRONG_BULL
2021-01-27,STRONG_BULL
2021-01-28,STRONG_BULL
2021-01-29,STRONG_BULL
2021-02-01,STRONG_BULL
2021-02-02,STRONG_BULL
2021-02-03,STRONG_BULL
2021-02-04,STRONG_BULL
2021-02-05,STRONG_BULL
2021-02-08,STRONG_BULL
2021-02-09,STRONG_BULL
2021-02-10,STRONG_BULL
2021-02-15,STRONG_BULL
2021-02-16,STRONG_BULL
2021-02-17,STRONG_BULL
2021-02-18,STRONG_BULL
2021-02-19,STRONG_BULL
2021-02-22,STRONG_BULL
2021-02-23,STRONG_BULL
2021-02-24,STRONG_BULL
2021-02-25,STRONG_BULL
2021-02-26,STRONG_BULL
2021-03-02,STRONG_BULL
2021-03-03,STRONG_BULL
2021-03-04,STRONG_BULL
2021-03-05,STRONG_BULL
2021-03-08,STRONG_BULL
2021-03-09,STRONG_BULL
2021-03-10,STRONG_BULL
2021-03-11,STRONG_BULL
2021-03-12,STRONG_BULL
2021-03-15,STRONG_BULL
2021-03-16,STRONG_BULL
2021-03-17,STRONG_BULL
2021-03-18,STRONG_BULL
2021-03-19,STRONG_BULL
2021-03-22,STRONG_BULL
2021-03-23,STRONG_BULL
2021-03-24,STRONG_BULL
2021-03-25,STRONG_BULL
2021-03-26,STRONG_BULL
2021-03-29,WEAK
2021-03-30,WEAK
2021-03-31,WEAK
2021-04-01,WEAK
2021-04-02,WEAK
2021-04-05,WEAK
2021-04-06,WEAK
2021-04-07,WEAK
2021-04-08,WEAK
2021-04-09,WEAK
2021-04-12,WEAK
2021-04-13,WEAK
2021-04-14,WEAK
2021-04-15,WEAK
2021-04-16,WEAK
2021-04-19,WEAK
2021-04-20,WEAK
2021-04-21,WEAK
2021-04-22,WEAK
2021-04-23,WEAK
2021-04-26,WEAK
2021-04-27,WEAK
2021-04-28,WEAK
2021-04-29,WEAK
2021-04-30,WEAK
2021-05-03,WEAK
2021-05-04,WEAK
2021-05-06,WEAK
2021-05-07,WEAK
2021-05-10,WEAK
2021-05-11,WEAK
2021-05-12,WEAK
2021-05-13,WEAK
2021-05-14,WEAK
2021-05-17,WEAK
2021-05-18,WEAK
2021-05-20,WEAK
2021-05-21,WEAK
2021-05-24,WEAK
2021-05-25,WEAK
2021-05-26,WEAK
2021-05-27,WEAK
2021-05-28,WEAK
2021-05-31,WEAK
2021-06-01,WEAK
2021-06-02,WEAK
2021-06-03,WEAK
2021-06-04,WEAK
2021-06-07,STRONG_BULL
2021-06-08,STRONG_BULL
2021-06-09,STRONG_BULL
2021-06-10,STRONG_BULL
2021-06-11,STRONG_BULL
2021-06-14,STRONG_BULL
2021-06-15,STRONG_BULL
2021-06-16,STRONG_BULL
2021-06-17,STRONG_BULL
2021-06-18,STRONG_BULL
2021-06-21,STRONG_BULL
2021-06-22,STRONG_BULL
2021-06-23,STRONG_BULL
2021-06-24,STRONG_BULL
2021-06-25,STRONG_BULL
2021-06-28,STRONG_BULL
2021-06-29,STRONG_BULL
2021-06-30,WEAK
2021-07-01,WEAK
2021-07-02,WEAK
2021-07-05,WEAK
2021-07-06,WEAK
2021-07-07,WEAK
2021-07-08,WEAK
2021-07-09,WEAK
2021-07-12,WEAK
2021-07-13,WEAK
2021-07-14,WEAK
2021-07-15,WEAK
2021-07-16,WEAK
2021-07-19,WEAK
2021-07-20,WEAK
2021-07-21,WEAK
2021-07-22,WEAK
2021-07-23,WEAK
2021-07-26,WEAK
2021-07-27,WEAK
2021-07-28,WEAK
2021-07-29,WEAK
2021-07-30,WEAK
2021-08-02,WEAK
2021-08-03,WEAK
2021-08-04,WEAK
2021-08-05,WEAK
2021-08-06,WEAK
2021-08-09,WEAK
2021-08-10,WEAK
2021-08-11,WEAK
2021-08-12,WEAK
2021-08-13,WEAK
2021-08-17,WEAK
2021-08-18,WEAK
2021-08-19,WEAK
2021-08-20,WEAK
2021-08-23,WEAK
2021-08-24,WEAK
2021-08-25,WEAK
2021-08-26,WEAK
2021-08-27,WEAK
2021-08-30,WEAK
2021-08-31,WEAK
2021-09-01,WEAK
2021-09-02,WEAK
2021-09-03,WEAK
2021-09-06,WEAK
2021-09-07,WEAK
2021-09-08,WEAK
2021-09-09,WEAK
2021-09-10,WEAK
2021-09-13,WEAK
2021-09-14,WEAK
2021-09-15,WEAK
2021-09-16,WEAK
2021-09-17,WEAK
2021-09-23,WEAK
2021-09-24,WEAK
2021-09-27,WEAK
2021-09-28,BEAR
2021-09-29,BEAR
2021-09-30,BEAR
2021-10-01,BEAR
2021-10-05,BEAR
2021-10-06,BEAR
2021-10-07,BEAR
2021-10-08,BEAR
2021-10-12,BEAR
2021-10-13,BEAR
2021-10-14,BEAR
2021-10-15,BEAR
2021-10-18,BEAR
2021-10-19,BEAR
2021-10-20,BEAR
2021-10-21,BEAR
2021-10-22,BEAR
2021-10-25,BEAR
2021-10-26,BEAR
2021-10-27,BEAR
2021-10-28,BEAR
2021-10-29,BEAR
2021-11-01,BEAR
2021-11-02,BEAR
2021-11-03,BEAR
2021-11-04,BEAR
2021-11-05,BEAR
2021-11-08,BEAR
2021-11-09,BEAR
2021-11-10,BEAR
2021-11-11,BEAR
2021-11-12,BEAR
2021-11-15,BEAR
2021-11-16,BEAR
2021-11-17,BEAR
2021-11-18,BEAR
2021-11-19,BEAR
2021-11-22,BEAR
2021-11-23,BEAR
2021-11-24,BEAR
2021-11-25,BEAR
2021-11-26,BEAR
2021-11-29,BEAR
2021-11-30,BEAR
2021-12-01,BEAR
2021-12-02,BEAR
2021-12-03,BEAR
2021-12-06,BEAR
2021-12-07,BEAR
2021-12-08,BEAR
2021-12-09,BEAR
2021-12-10,BEAR
2021-12-13,BEAR
2021-12-14,BEAR
2021-12-15,BEAR
2021-12-16,BEAR
2021-12-17,BEAR
2021-12-20,BEAR
2021-12-21,BEAR
2021-12-22,BEAR
2021-12-23,BEAR
2021-12-24,BEAR
2021-12-27,BEAR
2021-12-28,BEAR
2021-12-29,BEAR
2021-12-30,BEAR
2022-01-03,BEAR
2022-01-04,BEAR
2022-01-05,BEAR
2022-01-06,BEAR
2022-01-07,BEAR
2022-01-10,BEAR
2022-01-11,BEAR
2022-01-12,BEAR
2022-01-13,BEAR
2022-01-14,BEAR
2022-01-17,BEAR
2022-01-18,BEAR
2022-01-19,BEAR
2022-01-20,BEAR
2022-01-21,BEAR
2022-01-24,BEAR
2022-01-25,BEAR
2022-01-26,BEAR
2022-01-27,BEAR
2022-01-28,BEAR
2022-02-03,BEAR
2022-02-04,BEAR
2022-02-07,BEAR
2022-02-08,BEAR
2022-02-09,BEAR
2022-02-10,BEAR
2022-02-11,BEAR
2022-02-14,BEAR
2022-02-15,BEAR
2022-02-16,BEAR
2022-02-17,BEAR
2022-02-18,BEAR
2022-02-21,BEAR
2022-02-22,BEAR
2022-02-23,BEAR
2022-02-24,BEAR
2022-02-25,BEAR
2022-02-28,BEAR
2022-03-02,BEAR
2022-03-03,BEAR
2022-03-04,BEAR
2022-03-07,BEAR
2022-03-08,BEAR
2022-03-10,BEAR
2022-03-11,BEAR
2022-03-14,BEAR
2022-03-15,BEAR
2022-03-16,BEAR
2022-03-17,BEAR
2022-03-18,BEAR
2022-03-21,BEAR
2022-03-22,BEAR
2022-03-23,BEAR
2022-03-24,BEAR
2022-03-25,BEAR
2022-03-28,BEAR
2022-03-29,BEAR
2022-03-30,BEAR
2022-03-31,BEAR
2022-04-01,BEAR
2022-04-04,BEAR
2022-04-05,BEAR
2022-04-06,BEAR
2022-04-07,BEAR
2022-04-08,BEAR
2022-04-11,BEAR
2022-04-12,BEAR
2022-04-13,BEAR
2022-04-14,BEAR
2022-04-15,BEAR
2022-04-18,BEAR
2022-04-19,BEAR
2022-04-20,BEAR
2022-04-21,BEAR
2022-04-22,BEAR
2022-04-25,BEAR
2022-04-26,BEAR
2022-04-27,BEAR
2022-04-28,BEAR
2022-04-29,BEAR
2022-05-02,BEAR
2022-05-03,BEAR
2022-05-04,BEAR
2022-05-06,BEAR
2022-05-09,BEAR
2022-05-10,BEAR
2022-05-11,BEAR
2022-05-12,BEAR
2022-05-13,BEAR
2022-05-16,BEAR
2022-05-17,BEAR
2022-05-18,BEAR
2022-05-19,BEAR
2022-05-20,BEAR
2022-05-23,BEAR
2022-05-24,BEAR
2022-05-25,BEAR
2022-05-26,BEAR
2022-05-27,BEAR
2022-05-30,BEAR
2022-05-31,BEAR
2022-06-02,BEAR
2022-06-03,BEAR
2022-06-07,BEAR
2022-06-08,BEAR
2022-06-09,BEAR
2022-06-10,BEAR
2022-06-13,BEAR
2022-06-14,BEAR
2022-06-15,BEAR
2022-06-16,BEAR
2022-06-17,BEAR
2022-06-20,BEAR
2022-06-21,BEAR
2022-06-22,BEAR
2022-06-23,BEAR
2022-06-24,BEAR
2022-06-27,BEAR
2022-06-28,BEAR
2022-06-29,BEAR
2022-06-30,BEAR
2022-07-01,BEAR
2022-07-04,BEAR
2022-07-05,BEAR
2022-07-06,BEAR
2022-07-07,BEAR
2022-07-08,BEAR
2022-07-11,BEAR
2022-07-12,BEAR
2022-07-13,BEAR
2022-07-14,BEAR
2022-07-15,BEAR
2022-07-18,BEAR
2022-07-19,BEAR
2022-07-20,BEAR
2022-07-21,BEAR
2022-07-22,BEAR
2022-07-25,BEAR
2022-07-26,BEAR
2022-07-27,BEAR
2022-07-28,BEAR
2022-07-29,BEAR
2022-08-01,BEAR
2022-08-02,BEAR
2022-08-03,BEAR
2022-08-04,BEAR
2022-08-05,BEAR
2022-08-08,BEAR
2022-08-09,BEAR
2022-08-10,BEAR
2022-08-11,BEAR
2022-08-12,BEAR
2022-08-16,BEAR
2022-08-17,BEAR
2022-08-18,BEAR
2022-08-19,BEAR
2022-08-22,BEAR
2022-08-23,BEAR
2022-08-24,BEAR
2022-08-25,BEAR
2022-08-26,BEAR
2022-08-29,BEAR
2022-08-30,BEAR
2022-08-31,BEAR
2022-09-01,BEAR
2022-09-02,BEAR
2022-09-05,BEAR
2022-09-06,BEAR
2022-09-07,BEAR
2022-09-08,BEAR
2022-09-13,BEAR
2022-09-14,BEAR
2022-09-15,BEAR
2022-09-16,BEAR
2022-09-19,BEAR
2022-09-20,BEAR
2022-09-21,BEAR
2022-09-22,BEAR
2022-09-23,BEAR
2022-09-26,BEAR
2022-09-27,BEAR
2022-09-28,BEAR
2022-09-29,BEAR
2022-09-30,BEAR
2022-10-04,BEAR
2022-10-05,BEAR
2022-10-06,BEAR
2022-10-07,BEAR
2022-10-11,BEAR
2022-10-12,BEAR
2022-10-13,BEAR
2022-10-14,BEAR
2022-10-17,BEAR
