code,entry_date,exit_date,entry_price,exit_price,shares,pnl_krw,pnl_pct,hold_days,reason
237690,2020-05-04,2020-05-06,34150.0,32784.0,58,-87111.73663459998,-0.04392975219551232,1,stop
218410,2020-04-27,2020-05-07,37124.0,37856.0,53,30618.1238818001,0.015543496707169702,5,time
087010,2020-05-04,2020-05-07,13821.0,14650.26,145,111675.24128926522,0.05566089861745516,2,target
180640,2020-05-14,2020-05-15,77700.0,74592.0,25,-85431.69001500006,-0.04392975219551232,1,stop
064350,2020-05-18,2020-05-21,16100.0,17066.0,123,110352.05313510005,0.05566089861745516,3,target
180640,2020-05-18,2020-05-25,77000.0,78800.0,25,36978.30275000003,0.019187439488550284,5,time
064350,2020-05-25,2020-05-29,16400.0,15744.0,123,-88717.01678159996,-0.04392975219551232,4,stop
015760,2020-05-25,2020-06-01,21400.0,21750.0,94,24559.070034999866,0.012194698683197336,5,time
141080,2020-05-29,2020-06-01,25373.0,26895.38,78,110284.84888519812,0.05566089861745516,1,target
005830,2020-06-01,2020-06-02,43700.0,46322.0,46,112018.22815340012,0.05566089861745516,1,target
064350,2020-06-01,2020-06-08,15700.0,15650.0,129,-14731.06953749992,-0.007265168647808351,5,time
064350,2020-06-10,2020-06-11,14750.0,15635.0,138,113428.06855350011,0.05566089861745516,1,target
042700,2020-06-10,2020-06-12,4250.0,4080.0,482,-90093.59948300011,-0.04392975219551243,2,stop
131970,2020-06-11,2020-06-12,31498.0,30238.079999999998,65,-90043.90176885994,-0.04392975219551232,1,stop
042700,2020-06-15,2020-06-16,4060.0,3897.6,501,-89458.52426868002,-0.04392975219551232,1,stop
131970,2020-06-15,2020-06-16,30944.0,29706.239999999998,65,-88460.17195808003,-0.04392975219551232,1,stop
067310,2020-06-15,2020-06-16,3288.0,3156.48,619,-89511.82836561627,-0.04392975219551243,1,stop
039030,2020-06-15,2020-06-16,83200.0,79872.0,24,-87819.81911040004,-0.04392975219551232,1,stop
307950,2020-06-15,2020-06-17,40000.0,38400.0,50,-87960.5560000001,-0.04392975219551243,2,stop
222800,2020-06-16,2020-06-18,10500.0,11130.0,186,108830.76290100021,0.05566089861745516,2,target
108490,2020-06-16,2020-06-18,11685.0,12386.1,167,108741.32440921525,0.05566089861745516,2,target
095340,2020-06-16,2020-06-18,15200.0,16112.0,128,108418.39851520001,0.05566089861745516,2,target
319660,2020-06-17,2020-06-18,10900.0,11554.0,177,107510.08236810006,0.05566089861745516,1,target
007660,2020-06-18,2020-06-22,2884.0,3057.04,712,114425.99036713573,0.055660898617454935,2,target
001440,2020-06-16,2020-06-23,5949.0,5841.0,328,-43316.271187200444,-0.022173488992195622,5,time
071050,2020-06-18,2020-06-23,49150.0,47184.0,41,-88626.85721169994,-0.04392975219551232,3,stop
108490,2020-06-22,2020-06-24,11978.0,12696.68,184,122815.04227198474,0.05566089861745538,2,target
012330,2020-06-23,2020-06-24,187000.0,198220.0,10,104205.59479000024,0.05566089861745516,1,target
267260,2020-06-18,2020-06-25,7800.0,7740.0,263,-24140.527250999818,-0.01175431116363046,5,time
043260,2020-06-18,2020-06-25,574.0,564.0,3580,-44115.93295399984,-0.021443779468403257,5,time
011200,2020-06-23,2020-06-25,4530.0,4348.8,424,-84473.79956015968,-0.043929752195512206,2,stop
047040,2020-06-24,2020-06-26,3530.0,3388.7999999999997,616,-95634.23490544036,-0.04392975219551254,2,stop
082740,2020-06-24,2020-06-29,3506.0,3365.7599999999998,621,-95755.00474882801,-0.04392975219551232,3,stop
079550,2020-06-25,2020-06-29,31200.0,29952.0,62,-85075.44976320001,-0.04392975219551232,2,stop
