code,entry_date,exit_date,entry_price,exit_price,shares,pnl_krw,pnl_pct,hold_days,reason
068270,2020-04-01,2020-04-02,199857.0,187865.58,9,-114976.10386502114,-0.0638478823581059,1,stop
237690,2020-04-07,2020-04-09,39200.0,36848.0,50,-125285.78131999983,-0.06384788235810579,2,stop
180640,2020-04-08,2020-04-09,89000.0,83660.0,22,-125157.93868599995,-0.06384788235810579,1,stop
000100,2020-04-10,2020-04-14,41920.0,39404.799999999996,45,-120581.17238880019,-0.0638478823581059,2,stop
207940,2020-04-13,2020-04-14,829074.0,779329.5599999999,2,-105991.00394091615,-0.0638478823581059,1,stop
001440,2020-04-14,2020-04-21,5541.0,5208.54,339,-120069.73793148296,-0.06384788235810579,4,stop
180640,2020-04-20,2020-04-21,109500.0,102930.0,17,-118989.53159549995,-0.06384788235810579,1,stop
196170,2020-05-06,2020-05-08,33958.0,39051.7,55,271673.4263163246,0.14529248434912567,2,target
064350,2020-04-22,2020-05-11,17350.0,17500.0,105,8237.67236249987,0.004516650851256854,10,time
207940,2020-04-22,2020-05-11,833438.0,852347.0,2,30875.31942189997,0.018501585582615387,10,time
196170,2020-05-11,2020-05-12,40884.0,47016.6,46,273560.6190694198,0.14529248434912567,1,target
336260,2020-05-12,2020-05-13,10891.0,10237.539999999999,201,-139929.5797528471,-0.0638478823581059,1,stop
035720,2020-05-07,2020-05-15,40042.0,46048.299999999996,47,273751.17113559484,0.14529248434912567,6,target
001440,2020-05-11,2020-05-15,6912.0,6497.28,275,-121501.63935359986,-0.06384788235810579,4,stop
141080,2020-05-07,2020-05-18,28426.0,26720.44,66,-119923.8055647721,-0.0638478823581059,7,stop
196170,2020-05-14,2020-05-19,51453.0,48365.82,39,-128268.79742043861,-0.06384788235810568,3,stop
214150,2020-05-19,2020-05-22,16600.0,15604.0,123,-130514.54505059985,-0.06384788235810579,3,stop
263750,2020-05-11,2020-05-25,42000.0,41800.0,45,-16719.065550000174,-0.008835903813800061,10,time
078600,2020-05-22,2020-05-26,27600.0,31739.999999999996,69,277013.2479569998,0.14529248434912567,2,target
095340,2020-05-25,2020-05-27,18350.0,17249.0,102,-119641.52902889997,-0.06384788235810579,2,stop
336260,2020-05-27,2020-05-28,13982.0,16079.3,126,256260.81881421013,0.1452924843491259,1,target
011200,2020-05-28,2020-05-29,4930.0,4634.2,411,-129519.2901449101,-0.0638478823581059,1,stop
064760,2020-05-18,2020-06-01,81000.0,88500.0,23,164356.51477500005,0.08812007369723718,10,time
214450,2020-05-18,2020-06-01,50900.0,55700.0,37,169358.28625999996,0.08982303541891712,10,time
003230,2020-05-18,2020-06-01,121500.0,127500.0,15,82265.706,0.04508707643237475,10,time
214150,2020-06-01,2020-06-03,16500.0,15510.0,120,-126564.20766000007,-0.0638478823581059,2,stop
214370,2020-05-29,2020-06-04,14020.0,16122.999999999998,135,275311.3707247502,0.1452924843491259,4,target
141080,2020-06-02,2020-06-04,35782.0,41149.299999999996,56,291470.76777476026,0.1452924843491259,2,target
042660,2020-06-04,2020-06-05,26608.0,25011.519999999997,83,-141167.92742708838,-0.06384788235810601,1,stop
247540,2020-05-26,2020-06-09,29031.0,29304.0,75,11491.525361250155,0.005271754821810859,10,time
098460,2020-06-04,2020-06-09,22460.0,21112.399999999998,99,-142131.6052021801,-0.0638478823581059,3,stop
082740,2020-06-03,2020-06-10,4172.0,3921.68,452,-120539.24000484776,-0.06384788235810568,5,stop
141080,2020-06-09,2020-06-10,46192.0,53120.799999999996,46,309077.1968509597,0.14529248434912567,1,target
028300,2020-06-02,2020-06-11,51871.0,48758.74,38,-125995.18009606609,-0.0638478823581059,7,stop
000880,2020-06-10,2020-06-11,28950.0,27213.0,73,-135088.11528194998,-0.06384788235810579,1,stop
226950,2020-06-11,2020-06-12,25373.0,23850.62,78,-126506.29494679812,-0.0638478823581059,1,stop
214450,2020-06-11,2020-06-12,60600.0,56964.0,32,-123956.21792639978,-0.06384788235810568,1,stop
086520,2020-06-05,2020-06-15,4087.0,3841.7799999999997,513,-134019.41478302702,-0.06384788235810579,6,stop
000100,2020-06-09,2020-06-15,46780.0,43973.2,45,-134560.7644167,-0.06384788235810579,4,stop
298380,2020-06-11,2020-06-15,29150.0,27401.0,68,-126704.83455740009,-0.0638478823581059,2,stop
207940,2020-06-12,2020-06-15,1045799.0,1202668.8499999999,1,152121.49637690734,0.14529248434912567,1,target
087010,2020-06-15,2020-06-16,21240.0,19965.6,94,-127622.7446695203,-0.06384788235810601,1,stop
003670,2020-06-15,2020-06-17,57497.0,66121.54999999999,34,284358.6664590647,0.14529248434912567,2,target
298380,2020-06-17,2020-06-18,32700.0,37605.0,65,309174.3638587501,0.1452924843491259,1,target
068270,2020-06-12,2020-06-23,239147.0,275019.05,7,243503.57617318234,0.14529248434912567,7,target
028260,2020-06-17,2020-06-23,123000.0,115620.0,17,-133659.47384700016,-0.0638478823581059,4,stop
196170,2020-06-23,2020-06-24,96010.0,90249.4,20,-122741.71290339995,-0.06384788235810579,1,stop
145020,2020-06-23,2020-06-24,170506.0,196081.9,11,272819.0660668551,0.1452924843491259,1,target
336260,2020-06-24,2020-06-25,32183.0,30252.019999999997,62,-127545.1441906821,-0.0638478823581059,1,stop
226950,2020-06-24,2020-06-25,26774.0,25167.559999999998,75,-128357.2006018504,-0.06384788235810601,1,stop
247540,2020-06-18,2020-06-26,32614.0,30657.16,82,-170947.84627631633,-0.0638478823581059,6,stop
005290,2020-06-25,2020-06-26,26050.0,29957.499999999996,72,272824.01169299963,0.14529248434912567,1,target
034730,2020-06-15,2020-06-29,289000.0,293000.0,6,16822.96800000011,0.009690681252576772,10,time
066970,2020-06-26,2020-06-29,31058.0,29194.519999999997,75,-148895.1197539498,-0.06384788235810579,1,stop
131290,2020-06-25,2020-06-30,23650.0,27197.499999999996,80,275209.54900999996,0.1452924843491259,3,target
051910,2020-06-17,2020-07-01,484000.0,491500.0,4,21977.443299999926,0.011338943689535252,10,time
066970,2020-07-02,2020-07-07,31383.0,36090.45,66,301287.25383421476,0.14529248434912567,3,target
178320,2020-07-02,2020-07-08,16245.0,18681.75,128,302462.85826080013,0.1452924843491259,4,target
247540,2020-07-07,2020-07-08,34937.0,32840.78,62,-138459.581225798,-0.06384788235810579,1,stop
095340,2020-07-07,2020-07-08,19350.0,18189.0,112,-138530.27820240008,-0.0638478823581059,1,stop
237690,2020-07-07,2020-07-10,49400.0,46436.0,44,-138939.3746312,-0.06384788235810579,3,stop
064760,2020-07-06,2020-07-13,93700.0,88078.0,22,-131767.40286379983,-0.06384788235810579,5,stop
