code,entry_date,exit_date,entry_price,exit_price,shares,pnl_krw,pnl_pct,hold_days,reason
138040,2020-02-03,2020-02-04,10700.0,10272.0,186,-87529.54927560012,-0.04392975219551243,1,stop
096770,2020-02-03,2020-02-06,126437.0,133817.0,15,102601.18916399986,0.05403656523318867,3,time
034220,2020-02-03,2020-02-06,13956.0,15072.480000000001,143,151007.15371684823,0.07557902878004863,3,target
222800,2020-02-04,2020-02-06,11131.0,12021.480000000001,179,150760.5583662442,0.07557902878004863,2,target
247540,2020-02-04,2020-02-07,16035.0,17317.800000000003,124,150449.6469530405,0.07557902878004885,3,target
086520,2020-02-04,2020-02-07,3020.0,3261.6000000000004,663,151502.9170605603,0.07557902878004885,3,target
196170,2020-02-06,2020-02-07,22945.0,24780.600000000002,91,157990.13779822015,0.07557902878004863,1,target
214450,2020-02-06,2020-02-07,40700.0,39072.0,51,-91289.86304459977,-0.043929752195512206,1,stop
267250,2020-02-07,2020-02-10,61699.0,59231.04,34,-92260.33185894764,-0.043929752195512206,1,stop
009540,2020-02-07,2020-02-10,123000.0,118080.0,17,-91962.76129800011,-0.04392975219551243,1,stop
005830,2020-02-06,2020-02-11,44700.0,45450.0,47,26536.172857500147,0.012616348870105432,3,time
196170,2020-02-10,2020-02-11,25448.0,24430.079999999998,80,-89536.80916352011,-0.04392975219551243,1,stop
047040,2020-02-07,2020-02-12,4770.0,4690.0,449,-44591.34392999997,-0.020796326388223485,3,time
298040,2020-02-07,2020-02-12,24800.0,24600.0,86,-25889.934499999974,-0.012124995968145313,3,time
247540,2020-02-11,2020-02-12,19667.0,21240.36,104,154764.725091808,0.07557902878004863,1,target
047050,2020-02-10,2020-02-13,18300.0,18250.0,112,-13983.161640000064,-0.0068145479034665835,3,time
011200,2020-02-11,2020-02-14,3710.0,3825.0,552,54900.07204200025,0.02677692549757582,3,time
180640,2020-02-13,2020-02-14,42850.0,46278.0,51,165356.59694460034,0.07557902878004885,1,target
006400,2020-02-12,2020-02-17,334339.0,330913.0,6,-28716.528423000127,-0.014298630058967032,3,time
086520,2020-02-12,2020-02-17,3540.0,3398.4,603,-93881.18102435977,-0.043929752195512206,3,stop
009150,2020-02-12,2020-02-17,141000.0,146000.0,15,66111.20325000025,0.031222341751294458,3,time
141080,2020-02-14,2020-02-17,23121.0,24970.68,96,167949.36659289617,0.07557902878004863,1,target
098460,2020-02-14,2020-02-18,21419.0,20562.239999999998,104,-97969.411746128,-0.04392975219551232,2,stop
196170,2020-02-17,2020-02-18,27784.0,26672.64,77,-94089.99938430404,-0.04392975219551232,1,stop
095340,2020-02-17,2020-02-18,14800.0,14208.0,145,-94381.67658800003,-0.04392975219551232,1,stop
087010,2020-02-17,2020-02-18,12854.0,12339.84,167,-94408.85639980412,-0.04392975219551243,1,stop
000250,2020-02-18,2020-02-19,37650.0,40662.0,55,156685.27838700032,0.07557902878004885,1,target
011200,2020-02-18,2020-02-19,3960.0,3801.6,524,-91260.8360611198,-0.043929752195512206,1,stop
034020,2020-02-17,2020-02-20,5071.0,4868.16,423,-94339.14765917393,-0.04392975219551232,3,stop
180640,2020-02-19,2020-02-20,48900.0,52812.0,43,159102.80568120023,0.07557902878004863,1,target
096770,2020-02-18,2020-02-21,134309.0,128936.64,15,-88604.20736852987,-0.04392975219551232,3,stop
058470,2020-02-18,2020-02-21,17499.0,17420.0,118,-17756.817690299824,-0.008589555310650088,3,time
087010,2020-02-20,2020-02-21,13453.0,14529.240000000002,163,165923.25928908447,0.07557902878004885,1,target
214450,2020-02-19,2020-02-24,44900.0,43104.0,47,-92811.5806634,-0.04392975219551232,3,stop
010130,2020-02-20,2020-02-24,458000.0,439680.0,4,-80571.86929599987,-0.04392975219551232,2,stop
336260,2020-02-21,2020-02-24,8536.0,8194.56,261,-97983.48543508817,-0.04392975219551243,1,stop
247540,2020-02-21,2020-02-24,22212.0,21323.52,100,-97688.99349359982,-0.043929752195512206,1,stop
009830,2020-02-21,2020-02-25,23701.0,22752.96,94,-97983.39747453202,-0.04392975219551232,2,stop
012450,2020-02-24,2020-02-25,32290.0,30998.399999999998,62,-88047.63695044024,-0.04392975219551243,1,stop
161390,2020-02-24,2020-02-27,27100.0,26500.0,74,-52487.63685999997,-0.02614308245622221,3,time
319400,2020-02-24,2020-02-27,2595.0,2583.0,774,-17491.976157600293,-0.008698839884798026,3,time
086790,2020-02-24,2020-02-27,32200.0,31800.0,62,-32908.53483999963,-0.016465001288085146,3,time
003670,2020-02-25,2020-02-28,54768.0,52577.28,37,-89122.33902364806,-0.04392975219551232,3,stop
017670,2020-02-25,2020-02-28,37440.0,36664.0,54,-50066.04174479982,-0.024735143855064257,3,time
180640,2020-02-27,2020-02-28,60000.0,64800.00000000001,32,145278.63552000024,0.07557902878004885,1,target
237690,2020-02-27,2020-02-28,33100.0,31776.0,59,-85889.08490619971,-0.043929752195512206,1,stop
226950,2020-02-27,2020-02-28,18091.0,17367.36,109,-86725.54581348179,-0.043929752195512206,1,stop
028300,2020-02-28,2020-03-02,41036.0,39394.56,47,-84824.41033637617,-0.04392975219551243,1,stop
033780,2020-02-28,2020-03-04,85600.0,82176.0,22,-82823.65952960029,-0.04392975219551254,3,stop
000100,2020-02-28,2020-03-04,36637.0,38148.0,53,71889.18638164992,0.03698014226412716,3,time
001440,2020-03-02,2020-03-04,4750.0,5130.0,414,148797.1024740003,0.07557902878004885,2,target
319400,2020-03-02,2020-03-05,2582.0,2570.0,762,-17180.185959600145,-0.00872202715210546,3,time
138040,2020-03-02,2020-03-05,10150.0,10450.0,193,49701.13901500008,0.025342168468482917,3,time
180640,2020-03-04,2020-03-05,83000.0,89640.0,23,144446.31000399985,0.07557902878004863,1,target
222800,2020-03-04,2020-03-05,10512.0,11352.960000000001,188,149535.29954073625,0.07557902878004885,1,target
066970,2020-03-05,2020-03-06,23734.0,22784.64,85,-88725.37303441996,-0.04392975219551232,1,stop
003490,2020-03-05,2020-03-09,15788.0,15156.48,129,-89572.52114925603,-0.04392975219551232,2,stop
018260,2020-03-05,2020-03-09,180500.0,173280.0,11,-87322.84196899994,-0.04392975219551232,2,stop
005930,2020-03-05,2020-03-09,57600.0,55296.0,35,-88664.24044800014,-0.04392975219551243,2,stop
047040,2020-03-06,2020-03-09,4210.0,4041.6,486,-89986.28760468005,-0.04392975219551232,1,stop
017670,2020-03-05,2020-03-10,38044.0,37699.0,53,-26494.426708149957,-0.013124817317300863,3,time
218410,2020-03-09,2020-03-10,32197.0,34772.76,60,146173.0071199201,0.07557902878004863,1,target
010170,2020-03-09,2020-03-10,2430.0,2332.7999999999997,795,-84963.30005430034,-0.04392975219551254,1,stop
058610,2020-03-09,2020-03-10,6400.0,6144.0,302,-85005.08131840033,-0.04392975219551254,1,stop
237690,2020-03-09,2020-03-10,35650.0,34224.0,54,-84666.43317780015,-0.04392975219551243,1,stop
015760,2020-03-10,2020-03-11,22950.0,22032.0,83,-83775.83254830004,-0.04392975219551232,1,stop
010950,2020-03-11,2020-03-12,64400.0,61824.0,29,-82137.56719280011,-0.04392975219551243,1,stop
028300,2020-03-11,2020-03-12,35063.0,33660.479999999996,54,-83272.34632575605,-0.04392975219551232,1,stop
078930,2020-03-11,2020-03-12,40000.0,38400.0,47,-82682.92264,-0.04392975219551232,1,stop
298380,2020-03-11,2020-03-12,20150.0,19344.0,94,-83303.04455980007,-0.04392975219551232,1,stop
035720,2020-03-11,2020-03-12,34523.0,33142.08,55,-83508.21255666995,-0.04392975219551232,1,stop
000250,2020-03-13,2020-03-16,37900.0,36384.0,48,-80008.92173759989,-0.04392975219551232,1,stop
001440,2020-03-16,2020-03-17,4432.0,4254.72,407,-79332.68098307191,-0.04392975219551232,1,stop
145020,2020-03-16,2020-03-17,115092.0,110488.31999999999,15,-75926.67233364028,-0.04392975219551254,1,stop
035420,2020-03-16,2020-03-17,166000.0,159360.0,10,-73007.26147999964,-0.043929752195512095,1,stop
105560,2020-03-16,2020-03-17,33250.0,31920.0,54,-78966.58914899989,-0.04392975219551232,1,stop
031980,2020-03-16,2020-03-17,5600.0,5376.0,322,-79305.23728960007,-0.04392975219551243,1,stop
087010,2020-03-18,2020-03-19,12484.0,11984.64,138,-75768.87109617633,-0.04392975219551254,1,stop
100790,2020-03-18,2020-03-19,1939.0,1861.4399999999998,892,-76067.761065464,-0.04392975219551232,1,stop
034020,2020-03-18,2020-03-19,2805.0,2692.7999999999997,616,-75992.64275063993,-0.04392975219551232,1,stop
237690,2020-03-18,2020-03-19,25850.0,24816.0,66,-75034.75229580002,-0.04392975219551232,1,stop
319400,2020-03-17,2020-03-20,2557.0,2551.0,676,-11127.912551600253,-0.006430386296910617,3,time
180640,2020-03-23,2020-03-24,53300.0,51168.0,31,-72668.61333939969,-0.043929752195512095,1,stop
011070,2020-03-23,2020-03-24,92500.0,99900.0,18,125983.81674000015,0.07557902878004863,1,target
031980,2020-03-23,2020-03-24,4700.0,5076.0,354,125893.01759280008,0.07557902878004863,1,target
005830,2020-03-23,2020-03-24,26750.0,28890.000000000004,62,125491.98802600033,0.07557902878004885,1,target
267260,2020-03-23,2020-03-25,5400.0,5832.0,308,125847.61801919993,0.07557902878004863,2,target
000810,2020-03-24,2020-03-25,134500.0,145260.0,12,122124.85298399976,0.07557902878004841,1,target
032830,2020-03-24,2020-03-25,37100.0,40068.0,47,131938.7274772001,0.07557902878004863,1,target
006400,2020-03-24,2020-03-25,226645.0,244776.6,7,120045.17418333958,0.07557902878004841,1,target
098460,2020-03-25,2020-03-26,17400.0,16704.0,107,-81882.48158040014,-0.04392975219551243,1,stop
034730,2020-03-25,2020-03-26,140000.0,151200.0,13,137712.0399199999,0.07557902878004863,1,target
096770,2020-03-25,2020-03-26,77731.0,83949.48000000001,24,141158.17022006446,0.07557902878004885,1,target
068270,2020-03-24,2020-03-27,152455.0,157155.0,11,44674.883923999965,0.02660907995880102,3,time
222800,2020-03-25,2020-03-27,7510.0,8110.8,248,140926.3297308802,0.07557902878004885,2,target
078930,2020-03-26,2020-03-27,39900.0,38304.0,48,-84231.02842559945,-0.043929752195512095,1,stop
071050,2020-03-26,2020-03-27,48200.0,46272.0,40,-84793.9759839999,-0.04392975219551232,1,stop
007660,2020-03-26,2020-03-30,1966.0,1887.36,982,-84908.85247013601,-0.04392975219551232,2,stop
100790,2020-03-27,2020-03-30,2144.0,2058.24,865,-81564.06436768011,-0.04392975219551243,1,stop
226950,2020-03-27,2020-03-30,14288.0,15431.04,129,139463.85813331231,0.07557902878004885,1,target
032820,2020-03-27,2020-03-30,662.0,635.52,2803,-81609.18813290843,-0.04392975219551254,1,stop
083650,2020-03-27,2020-03-30,1470.0,1411.2,1262,-81589.57292891992,-0.04392975219551232,1,stop
180640,2020-03-30,2020-03-31,62200.0,67176.0,29,136486.25143279973,0.07557902878004841,1,target
222800,2020-03-30,2020-03-31,8340.0,9007.2,219,138200.8419957601,0.07557902878004863,1,target
000100,2020-03-30,2020-04-01,36973.0,39930.840000000004,49,137082.27216821187,0.07557902878004863,2,target
082740,2020-03-31,2020-04-01,2046.0,1964.1599999999999,931,-83774.77702162834,-0.04392975219551254,1,stop
141080,2020-03-31,2020-04-01,24272.0,23301.12,78,-83264.16599404812,-0.04392975219551243,1,stop
068270,2020-04-01,2020-04-02,199857.0,191862.72,9,-79107.89778221399,-0.04392975219551232,1,stop
064350,2020-04-01,2020-04-02,12000.0,11520.0,156,-82331.08041599998,-0.04392975219551232,1,stop
032820,2020-04-01,2020-04-02,723.0,694.0799999999999,2602,-82737.72206638823,-0.04392975219551243,1,stop
207940,2020-04-01,2020-04-02,699623.0,671638.08,2,-61539.22807038808,-0.04392975219551243,1,stop
087010,2020-04-01,2020-04-02,14881.0,14285.76,126,-82463.2851316682,-0.04392975219551243,1,stop
241560,2020-04-02,2020-04-03,21450.0,20592.0,84,-79243.66490040021,-0.04392975219551243,1,stop
034020,2020-04-02,2020-04-03,3133.0,3383.6400000000003,575,136310.32808510028,0.07557902878004885,1,target
010170,2020-04-02,2020-04-03,1880.0,2030.4,959,136419.66539152013,0.07557902878004863,1,target
010950,2020-04-03,2020-04-06,70000.0,67200.0,26,-80044.10596000007,-0.04392975219551232,1,stop
096770,2020-04-03,2020-04-06,94262.0,90491.51999999999,19,-78767.71033188421,-0.04392975219551243,1,stop
178320,2020-04-02,2020-04-07,13967.0,14068.0,129,5606.686693950323,0.003108237729524177,3,time
000150,2020-04-02,2020-04-07,35700.0,36850.0,50,50015.20012500021,0.027987530100238578,3,time
010170,2020-04-06,2020-04-07,2358.0,2263.68,769,-79749.52605795627,-0.04392975219551243,1,stop
000810,2020-04-03,2020-04-08,167000.0,174000.0,11,69244.60675000004,0.03765109230277486,3,time
039490,2020-04-07,2020-04-08,76100.0,73056.0,23,-76978.68058339995,-0.04392975219551232,1,stop
237690,2020-04-07,2020-04-08,39200.0,37632.0,45,-77581.21039199992,-0.04392975219551232,1,stop
180640,2020-04-08,2020-04-09,89000.0,85440.0,20,-78284.89483999996,-0.04392975219551232,1,stop
087010,2020-04-08,2020-04-09,16632.0,15966.72,107,-78268.35825547203,-0.04392975219551232,1,stop
001440,2020-04-08,2020-04-09,4651.0,5023.08,385,135490.10912206,0.07557902878004863,1,target
039030,2020-04-07,2020-04-10,74000.0,71040.0,24,-78108.97372799995,-0.04392975219551232,3,stop
047050,2020-04-07,2020-04-10,13400.0,13750.0,134,39403.00853500003,0.0219189915509721,3,time
336260,2020-04-09,2020-04-10,7113.0,6828.48,250,-78207.92935350025,-0.04392975219551243,1,stop
100790,2020-04-09,2020-04-10,2349.0,2255.04,759,-78412.04182369797,-0.04392975219551232,1,stop
064760,2020-04-09,2020-04-13,69000.0,66240.0,25,-75865.97955000028,-0.04392975219551254,2,stop
086280,2020-04-10,2020-04-13,52770.0,50659.2,33,-76587.69591198023,-0.04392975219551243,1,stop
082740,2020-04-10,2020-04-13,2470.0,2371.2,708,-76910.9509552801,-0.04392975219551243,1,stop
032830,2020-04-13,2020-04-14,50600.0,48576.0,34,-75663.67027120013,-0.04392975219551243,1,stop
207940,2020-04-13,2020-04-14,829074.0,795911.0399999999,2,-72925.81000514422,-0.04392975219551243,1,stop
005490,2020-04-13,2020-04-14,191000.0,183360.0,9,-75602.0978819998,-0.043929752195512206,1,stop
005380,2020-04-10,2020-04-16,97400.0,99100.0,17,22029.001794999698,0.013288859914278639,3,time
012330,2020-04-10,2020-04-16,178500.0,171360.0,9,-70654.31660699961,-0.043929752195512095,3,stop
011200,2020-04-14,2020-04-16,3425.0,3699.0000000000005,487,126208.92295910022,0.07557902878004885,1,target
