code,entry_date,exit_date,entry_price,exit_price,shares,pnl_krw,pnl_pct,hold_days,reason
237690,2020-02-05,2020-02-06,31800.0,30210.0,62,-106369.3923510001,-0.053888817276809164,1,stop
247540,2020-02-04,2020-02-07,16035.0,17317.800000000003,124,150449.6469530405,0.07557902878004885,3,target
086520,2020-02-04,2020-02-07,3020.0,3261.6000000000004,661,151045.89468632033,0.07557902878004885,3,target
196170,2020-02-06,2020-02-07,22945.0,24780.600000000002,85,147573.20563570037,0.07557902878004885,1,target
267250,2020-02-07,2020-02-10,61699.0,58614.049999999996,33,-109847.43841343233,-0.05388881727680894,1,stop
000250,2020-02-05,2020-02-11,32500.0,35100.0,61,150007.75777000026,0.07557902878004885,4,target
222800,2020-02-07,2020-02-12,13509.0,14589.720000000001,154,157414.39553901623,0.07557902878004885,3,target
034730,2020-02-07,2020-02-13,240000.0,234000.0,8,-55727.03759999992,-0.028991154573567157,4,time
010130,2020-02-07,2020-02-13,425000.0,422000.0,4,-18931.563399999868,-0.011123420163005271,4,time
021240,2020-02-10,2020-02-14,89000.0,90400.0,28,28871.72204000037,0.011572453201377453,4,time
218410,2020-02-13,2020-02-14,34587.0,32857.65,51,-95165.80788975721,-0.05388881727680894,1,stop
247540,2020-02-12,2020-02-17,21767.0,20678.649999999998,101,-118609.04792743316,-0.053888817276809386,3,stop
086520,2020-02-12,2020-02-17,3540.0,3363.0,623,-118984.16782244993,-0.05388881727680905,3,stop
180640,2020-02-14,2020-02-18,48600.0,46170.0,41,-107502.35909849987,-0.05388881727680905,2,stop
035720,2020-02-14,2020-02-20,36329.0,38236.0,54,94634.7062859002,0.048184129616731575,4,time
214450,2020-02-19,2020-02-24,44900.0,42655.0,44,-106585.195541,-0.05388881727680905,3,stop
000250,2020-02-20,2020-02-24,43200.0,41040.0,47,-109541.69924400002,-0.05388881727680905,2,stop
336260,2020-02-21,2020-02-24,8536.0,8109.2,239,-110065.23778294004,-0.05388881727680905,1,stop
087010,2020-02-21,2020-02-24,14512.0,13786.4,140,-109610.75626479997,-0.05388881727680905,1,stop
009830,2020-02-21,2020-02-26,23701.0,22515.95,86,-109967.15523308516,-0.053888817276809164,3,stop
237690,2020-02-27,2020-02-28,33100.0,31445.0,57,-101788.96964324987,-0.05388881727680905,1,stop
180640,2020-02-27,2020-02-28,60000.0,64800.00000000001,31,140738.67816000036,0.07557902878004885,1,target
087010,2020-02-27,2020-02-28,15203.0,14442.849999999999,126,-103346.96077345498,-0.05388881727680905,1,stop
028300,2020-02-28,2020-03-02,41036.0,38984.2,46,-101840.54660565988,-0.05388881727680905,1,stop
141080,2020-03-06,2020-03-10,24872.0,23628.399999999998,75,-100639.8176565005,-0.053888817276809386,2,stop
298380,2020-03-06,2020-03-10,19950.0,18952.5,94,-101173.93055175012,-0.053888817276809164,2,stop
138040,2020-03-09,2020-03-12,10400.0,9880.0,182,-102118.06950800004,-0.05388881727680905,3,stop
218410,2020-03-11,2020-03-13,35124.0,33367.799999999996,52,-98538.32619228051,-0.053888817276809386,2,stop
218410,2020-03-16,2020-03-17,37758.0,35870.1,47,-95742.48796423501,-0.05388881727680905,1,stop
068270,2020-03-24,2020-03-30,152455.0,158010.0,11,54052.15751375002,0.03219433504686564,4,time
000100,2020-03-30,2020-04-01,36973.0,39930.840000000004,48,134284.67477702396,0.07557902878004863,2,target
226950,2020-03-31,2020-04-01,18492.0,17567.399999999998,97,-96772.8402948901,-0.053888817276809164,1,stop
064350,2020-04-01,2020-04-02,12000.0,11400.0,150,-97111.43550000014,-0.053888817276809164,1,stop
068270,2020-04-01,2020-04-02,199857.0,189864.15,9,-97042.00082361745,-0.05388881727680905,1,stop
241560,2020-04-02,2020-04-03,21450.0,20377.5,82,-94894.05772274989,-0.05388881727680905,1,stop
010170,2020-04-02,2020-04-03,1880.0,2030.4,938,133432.37344863988,0.07557902878004863,1,target
010950,2020-04-03,2020-04-06,70000.0,66500.0,25,-94413.89562499989,-0.05388881727680905,1,stop
010170,2020-04-06,2020-04-08,2358.0,2240.1,743,-94521.47351521486,-0.05388881727680905,2,stop
336260,2020-04-09,2020-04-10,7113.0,6757.349999999999,243,-93251.7414960526,-0.053888817276809164,1,stop
001440,2020-04-09,2020-04-13,5177.0,5591.160000000001,335,131227.08916102047,0.07557902878004885,2,target
207940,2020-04-13,2020-04-14,829074.0,787620.2999999999,2,-89458.40697303019,-0.053888817276809164,1,stop
241560,2020-04-13,2020-04-16,22500.0,21375.0,77,-93469.75666874996,-0.05388881727680905,2,stop
032830,2020-04-13,2020-04-16,50600.0,48070.0,34,-92816.95201899996,-0.05388881727680905,2,stop
078600,2020-04-13,2020-04-17,16150.0,17442.0,107,130754.5552658001,0.07557902878004863,3,target
064350,2020-04-17,2020-04-20,14200.0,15336.000000000002,121,130009.24559920048,0.07557902878004885,1,target
336260,2020-04-16,2020-04-21,7928.0,7531.599999999999,211,-90249.3256643801,-0.053888817276809164,3,stop
003490,2020-04-20,2020-04-21,13875.0,13181.25,126,-94319.48172937497,-0.05388881727680905,1,stop
032820,2020-04-21,2020-04-22,877.0,833.15,1941,-91838.12269995757,-0.053888817276809164,1,stop
079550,2020-04-22,2020-04-24,23500.0,25380.0,71,126248.64758600015,0.07557902878004863,2,target
272210,2020-04-22,2020-04-24,7331.0,7917.4800000000005,229,127027.93126684404,0.07557902878004863,2,target
012450,2020-04-22,2020-04-24,24649.0,26620.920000000002,68,126826.13016219228,0.07557902878004885,2,target
047810,2020-04-22,2020-04-24,24500.0,26460.0,68,126059.48269600002,0.07557902878004863,2,target
000880,2020-04-22,2020-04-24,17550.0,18954.0,95,126154.06514099985,0.07557902878004863,2,target
058610,2020-04-24,2020-04-27,5580.0,5301.0,324,-97538.72581620002,-0.05388881727680905,1,stop
012450,2020-04-27,2020-04-28,25872.0,27941.760000000002,69,135076.44334060792,0.07557902878004863,1,target
100790,2020-04-28,2020-04-29,2897.0,3128.76,633,138756.30577875604,0.07557902878004863,1,target
067310,2020-04-28,2020-04-29,3429.0,3703.32,535,138810.3312713399,0.07557902878004863,1,target
108490,2020-04-24,2020-05-04,10712.0,10566.0,169,-32020.34602389997,-0.017667273627880675,4,time
079550,2020-04-27,2020-05-04,25750.0,24462.5,69,-95857.07945812494,-0.05388881727680905,3,stop
214150,2020-04-29,2020-05-04,11600.0,11020.0,166,-103887.65566599998,-0.05388881727680905,1,stop
005290,2020-05-04,2020-05-06,15400.0,16632.0,118,137500.17524320004,0.07557902878004863,1,target
196170,2020-05-06,2020-05-07,33958.0,36674.64,54,138751.08482779213,0.07557902878004863,1,target
298380,2020-05-07,2020-05-11,20650.0,19617.5,91,-101381.64112212532,-0.053888817276809275,2,stop
141080,2020-05-08,2020-05-11,29727.0,28240.649999999998,63,-101039.10750879766,-0.053888817276809164,1,stop
000250,2020-05-11,2020-05-13,36300.0,39204.0,51,140080.38434280013,0.07557902878004863,2,target
336260,2020-05-12,2020-05-13,10891.0,10346.449999999999,171,-100475.86118289782,-0.053888817276809275,1,stop
