,equity
2014-03-03,10000000.0
2014-03-04,10000000.0
2014-03-05,10000000.0
2014-03-06,10000000.0
2014-03-07,10000000.0
2014-03-10,10000000.0
2014-03-11,10000000.0
2014-03-12,10000000.0
2014-03-13,10000000.0
2014-03-14,10000000.0
2014-03-17,10000000.0
2014-03-18,10000000.0
2014-03-19,10000000.0
2014-03-20,10000000.0
2014-03-21,10000000.0
2014-03-24,10000000.0
2014-03-25,10000000.0
2014-03-26,10000000.0
2014-03-27,10000000.0
2014-03-28,10000000.0
2014-03-31,10000000.0
2014-04-01,10019539.238441799
2014-04-02,10074114.797017898
2014-04-03,10193747.4398524
2014-04-04,10181706.043452248
2014-04-07,10138962.16199847
2014-04-08,10233912.41624892
2014-04-09,10205781.59253162
2014-04-10,10164729.715813618
2014-04-11,10193632.257740218
2014-04-14,10259645.07324582
2014-04-15,10272008.51742582
2014-04-16,10251245.204207819
2014-04-17,10315076.47004682
2014-04-18,10297527.371688321
2014-04-21,10233443.502737788
2014-04-22,10160866.114692539
2014-04-23,10065892.930320412
2014-04-24,10059777.699598392
2014-04-25,9993625.097409401
2014-04-28,10018870.452783402
2014-04-29,9868980.8901822
2014-04-30,9904125.76467133
2014-05-02,10055835.99024023
2014-05-07,9852342.67250498
2014-05-08,9893652.52889738
2014-05-09,9965912.87192168
2014-05-12,9999458.549717031
2014-05-13,9995383.598397382
2014-05-14,10047243.261472732
2014-05-15,9954532.654688781
2014-05-16,9951156.30136883
2014-05-19,10021198.802824285
2014-05-20,9880572.597757053
2014-05-21,9784748.275099954
2014-05-22,9788522.822777733
2014-05-23,9757874.442886682
2014-05-26,9797496.977978133
2014-05-27,9681042.54656255
2014-05-28,9877989.07167815
2014-05-29,9781490.84111765
2014-05-30,9723432.571855022
2014-06-02,9606692.877311947
2014-06-03,9617164.268667411
2014-06-05,9565099.90622241
2014-06-09,9532865.655381769
2014-06-10,9497761.45032617
2014-06-11,9501279.04960577
2014-06-12,9560774.53788387
2014-06-13,9568729.985697871
2014-06-16,9441971.38522932
2014-06-17,9565264.707088819
2014-06-18,9690027.81169622
2014-06-19,9654413.165894818
2014-06-20,9605915.022951117
2014-06-23,9518174.521144753
2014-06-24,9393618.714469803
2014-06-25,9348557.835873527
2014-06-26,9365743.023283727
2014-06-27,9325781.181127727
2014-06-30,9344924.578567728
2014-07-01,9516754.972486977
2014-07-02,9524900.886918478
2014-07-03,9623177.921407077
2014-07-04,9518299.471683178
2014-07-07,9556782.227153432
2014-07-08,9644988.42201408
2014-07-09,9687283.365733081
2014-07-10,9775635.449444579
2014-07-11,9781413.36549483
2014-07-14,9944680.62230733
2014-07-15,9775577.55398168
2014-07-16,9756030.589794397
2014-07-17,9729399.87990415
2014-07-18,9759308.586911108
2014-07-21,9758457.694927607
2014-07-22,9760373.480396936
2014-07-23,9789985.923311936
2014-07-24,9801986.250513185
2014-07-25,9698996.583844535
2014-07-28,9703669.050542565
2014-07-29,9821557.233789315
