period,start,end,CAGR,Sharpe,Sortino,MDD,Final,N_trades,WinRate,ProfitFactor
Triple_full FULL  2010-2024,2014-03-03,2024-12-30,0.14629126423405148,0.7216283682446011,0.9054128118575403,-0.2769656707917676,4.385891903168417,1366.0,0.363103953147877,1.2190693357517561
Triple_full IS    2010-2018,2014-03-03,2018-12-28,0.10764772755987262,0.6581866834668931,0.8387335041646538,-0.2769656707917676,1.637103662089441,525.0,0.3904761904761905,1.1973503785529944
Triple_full OOS_A 2019-2023,2019-01-02,2023-12-28,0.20590821774020074,0.8760841401336278,1.0460457334088846,-0.2227164864828337,2.543328661229718,650.0,0.3523076923076923,1.280738548265785
Triple_full OOS_B 2024     ,2024-01-02,2024-12-30,0.05825398848827246,0.34315715744061503,0.5306789035111028,-0.16693738638290279,1.0578849436215287,191.0,0.32460732984293195,1.0910337336907652
Triple_no_bear FULL  2010-2024,2014-03-03,2024-12-30,0.12295269634002759,0.6482857268313389,0.7588605588230579,-0.27186753920813755,3.5101362858358494,1186.0,0.3591905564924115,1.2070767077430795
Triple_no_bear IS    2010-2018,2014-03-03,2018-12-28,0.09466423068170315,0.6041167547928322,0.7361190576298511,-0.27186753920813755,1.5466331142866374,473.0,0.39112050739957716,1.1887507899820935
Triple_no_bear OOS_A 2019-2023,2019-01-02,2023-12-28,0.1721876405192948,0.7864254247035815,0.8695683791758243,-0.22224912767381155,2.207973944608135,565.0,0.3433628318584071,1.2662100396663942
Triple_no_bear OOS_B 2024     ,2024-01-02,2024-12-30,0.028055960679010727,0.23914757992201602,0.32694853075848446,-0.147361966456243,1.0278807441998226,148.0,0.31756756756756754,1.0709670617339684
Legacy_Momentum5_tuned FULL  2010-2024,2014-03-03,2024-12-30,0.017702551302333003,0.2167164306620067,0.3319162994597621,-0.7460785026362209,1.2092615120697867,3955.0,0.2829329962073325,1.0278231310026669
Legacy_Momentum5_tuned IS    2010-2018,2014-03-03,2018-12-28,-0.17470177988175828,-0.6701305782527504,-0.9719556004260785,-0.6690851123683478,0.39623384335700806,1425.0,0.28421052631578947,0.871808386908651
Legacy_Momentum5_tuned OOS_A 2019-2023,2019-01-02,2023-12-28,0.23849956190411614,0.7815795680430363,1.240621562953864,-0.421616053857483,2.9049858931568253,2016.0,0.2857142857142857,1.12287815546618
Legacy_Momentum5_tuned OOS_B 2024     ,2024-01-02,2024-12-30,0.13253178106094654,0.5122029595532807,0.8456107392523096,-0.2117268287686921,1.1316638388551719,514.0,0.26848249027237353,1.0794433114038486
KOSPI_BH FULL  2010-2024,2010-01-04,2024-12-30,0.023416776545512663,0.22510746275266869,0.29864947625022453,-0.4389786736150936,1.4146768545049344,,,
KOSPI_BH IS    2010-2018,2010-01-04,2018-12-28,0.02082652375813332,0.2154201988916058,0.2858331372520023,-0.25852864116000307,1.2033440635796573,,,
KOSPI_BH OOS_A 2019-2023,2019-01-02,2023-12-28,0.057432302929773416,0.39414722776689826,0.5410985380367326,-0.3570889844525307,1.3210348258706468,,,
KOSPI_BH OOS_B 2024     ,2024-01-02,2024-12-30,-0.10184513886368352,-0.4632378356076498,-0.5719558764120236,-0.18357168796582912,0.8987493492046249,,,
