strategy,p_rsi_n,p_rsi_thresh,p_stop_pct,p_target_pct,p_max_hold,IS_CAGR,IS_Sharpe,IS_MDD,IS_PF,IS_N,IS_WR,OOS_CAGR,OOS_Sharpe,OOS_MDD,OOS_PF,OOS_N,OOS_WR,p_lookback,p_vol_mult,p_ret_thresh,Combined
Momentum5,,,0.03,0.15,5,0.20355633744599655,0.8960348889407468,-0.19271982690249467,1.2604936432059783,630,0.2984126984126984,0.974939263256043,1.715342095695538,-0.2759893587443395,1.3952528189056088,918,0.2908496732026144,,,0.1,1.3876192129936213
Momentum5,,,0.03,0.15,7,0.22452996641595346,0.9589477128936357,-0.16484167298839125,1.3003257636975742,574,0.29094076655052264,0.8812466983567708,1.6475376790576681,-0.2611109382487925,1.392077982059286,840,0.2726190476190476,,,0.1,1.372101692592055
Momentum5,,,0.03,0.15,5,0.2083768154544996,0.8952311981312852,-0.1958659220222576,1.2380079994487039,701,0.29529243937232524,0.8320334167875989,1.5206740926326778,-0.30840267600013105,1.3469683356298803,947,0.28722280887011614,,,0.07,1.2704969348321207
Momentum5,,,0.03,0.15,5,0.15194729473206436,0.6979166711245443,-0.1969338385186985,1.1724255677824946,734,0.29155313351498635,0.9279569994500667,1.6171090219694824,-0.3357592811045441,1.3800719517390394,953,0.291710388247639,,,0.03,1.249432081631507
Momentum5,,,0.03,0.15,7,0.1506788554813312,0.6869427616047658,-0.1965808524575241,1.1885796902636,646,0.2739938080495356,0.8022390125184433,1.5254304177579503,-0.3366062637978474,1.3537258037952509,878,0.265375854214123,,,0.05,1.1900353552966765
Momentum5,,,0.03,0.15,7,0.1795965398683219,0.7989831259143874,-0.17865613211919218,1.2174579117874937,628,0.2786624203821656,0.7426207103425355,1.4401623916980295,-0.3320118178382494,1.3312731001328229,875,0.26171428571428573,,,0.07,1.1836906853845726
Momentum5,,,0.03,0.15,5,0.1525502096480964,0.7002485978898487,-0.1969338385186985,1.173249305378714,729,0.2908093278463649,0.7771966481621781,1.4573459410305891,-0.31795682660592217,1.3346446698114531,955,0.2848167539267016,,,0.05,1.154507003774293
Momentum5,,,0.03,0.15,3,0.18795615240997843,0.8408887173570431,-0.19776505027266966,1.221621980631249,733,0.31923601637107774,0.6647700351069294,1.3505833668015228,-0.3054722631979129,1.2867225001633626,1052,0.3051330798479088,,,0.1,1.1467055070237309
Momentum5,,,0.03,0.15,7,0.14857134811854578,0.683052593491399,-0.1965808524575241,1.1842590567220488,650,0.2723076923076923,0.7328232612603813,1.430475678561833,-0.35826689394510336,1.3280540674172379,895,0.26145251396648045,,,0.03,1.1315064445336596
Momentum5,,,0.03,0.15,3,0.10096534219448783,0.5092219521059986,-0.20836915545340906,1.11028382408057,851,0.3125734430082256,0.8532849083874547,1.5247015251200509,-0.36223900005136134,1.3351355127509363,1107,0.3179765130984643,,,0.07,1.1185096959144298
NewHigh52w,,,0.05,0.2,7,0.08394476157822539,0.47045089987078414,-0.2363536734248033,1.1449614404549375,387,0.32558139534883723,0.7575931938693057,1.5387552492780965,-0.26026689996506147,1.377432617922367,560,0.3339285714285714,252.0,1.2,,1.1114335095151715
Momentum5,,,0.03,0.15,3,0.10315777265360326,0.5171869189002166,-0.2306043117484352,1.1091917323936278,900,0.31333333333333335,0.8468665869152543,1.5031781073773955,-0.3902595569603874,1.3252722250356943,1140,0.3175438596491228,,,0.03,1.108781631986524
NewHigh52w,,,0.05,0.2,10,0.11710124915643338,0.6178232237061652,-0.20275061065471822,1.2297410629108485,332,0.34036144578313254,0.6574434825559674,1.4262404312937926,-0.25053692900829583,1.3482701242615271,508,0.3110236220472441,252.0,1.2,,1.1028735482587417
Momentum5,,,0.03,0.15,3,0.10787528807097857,0.5345153750075065,-0.21575618272706631,1.1174179161837188,889,0.31046119235095615,0.7934823723512769,1.4551707538516763,-0.3672720204491837,1.3095346879801952,1129,0.31443755535872453,,,0.05,1.0869086023140082
NewHigh52w,,,0.05,0.2,10,0.11249391708057055,0.6013742586972008,-0.21852069498912507,1.2161639019563297,346,0.3468208092485549,0.6746127428885342,1.4005723632215594,-0.33601453197783104,1.349642972715858,532,0.31203007518796994,120.0,1.2,,1.080893121411816
NewHigh52w,,,0.05,0.2,7,0.07753909312442997,0.439305921664483,-0.275111257175488,1.1286378502434804,415,0.3253012048192771,0.7470960841126704,1.5081022644581399,-0.27477761744416285,1.372127392568891,580,0.33620689655172414,120.0,1.2,,1.080583727340677
NewHigh52w,,,0.05,0.2,14,0.13205439775809125,0.6876022705492106,-0.23323180927196008,1.2605587770072466,309,0.313915857605178,0.5901140152357776,1.2981742876135225,-0.3112145769677016,1.3254112494687076,489,0.29243353783231085,120.0,1.2,,1.0539454807877977
NewHigh52w,,,0.05,0.2,14,0.17453981869667068,0.883020135359617,-0.20606672302821394,1.3701715438063224,275,0.3381818181818182,0.4789295008723631,1.159297595718881,-0.29309713235255075,1.2920092300223245,459,0.28540305010893247,252.0,1.2,,1.0487866115751754
NewHigh52w,,,0.05,0.2,14,0.1602500400653859,0.832887746565807,-0.20397957566689617,1.306544530956151,293,0.32081911262798635,0.44123377566940447,1.1440310290732951,-0.2989910062790804,1.3122817809670313,420,0.3047619047619048,120.0,2.0,,1.0195737160702998
Momentum5,,,0.03,0.1,7,0.09129036703257687,0.4948631088204736,-0.2353289111607202,1.11846944273774,678,0.3023598820058997,0.5915395926060707,1.3034451648839338,-0.31030399134475073,1.2666012485174072,1004,0.3197211155378486,,,0.1,0.9800123424585497
