code,entry_date,exit_date,entry_price,exit_price,shares,pnl_krw,pnl_pct,hold_days,reason
003670,2020-11-10,2020-11-13,74602.0,71990.93,26,-75636.76513864915,-0.038950219654864005,3,stop
180640,2020-11-17,2020-11-18,81200.0,78358.0,24,-75993.49156559957,-0.03895021965486378,1,stop
006400,2020-11-16,2020-11-19,481683.0,507139.0,4,93627.68467439967,0.04853821003933079,3,time
028300,2020-11-30,2020-12-03,41534.0,42885.0,47,55309.719645549776,0.02830092457122091,3,time
009830,2020-12-23,2020-12-28,56233.0,54264.845,35,-76748.24014382856,-0.038950219654863893,2,stop
336260,2020-12-28,2020-12-29,52400.0,50566.0,37,-75603.54138310021,-0.038950219654864116,1,stop
326030,2021-01-05,2021-01-08,155000.0,159500.0,12,46218.15330000012,0.02481992288182666,3,time
066570,2021-01-11,2021-01-12,148500.0,143302.5,13,-75279.88273162488,-0.038950219654863893,1,stop
098460,2021-01-13,2021-01-14,24399.0,23545.035,80,-76115.15602253983,-0.038950219654863893,1,stop
226950,2021-01-29,2021-02-01,48250.0,51145.0,40,107549.08981000027,0.05566089861745538,1,target
178320,2021-01-29,2021-02-01,21577.0,20821.805,90,-75725.59579022229,-0.038950219654863893,1,stop
006400,2021-01-29,2021-02-01,751897.0,725580.605,2,-58640.47447424033,-0.038950219654863893,1,stop
096770,2021-02-16,2021-02-19,281409.0,291249.0,6,51946.3249452,0.030730270127322212,3,time
307950,2021-03-02,2021-03-03,133000.0,128345.0,14,-72608.7239814999,-0.038950219654863893,1,stop
000250,2021-03-02,2021-03-03,66600.0,64269.0,29,-75314.97824804974,-0.03895021965486378,1,stop
240810,2021-03-02,2021-03-04,51800.0,49987.0,37,-74737.8519779502,-0.038950219654864005,2,stop
218410,2021-03-02,2021-03-04,37612.0,36295.58,51,-74800.71194736869,-0.03895021965486378,2,stop
000270,2021-03-02,2021-03-04,81600.0,78744.0,23,-73185.85025160015,-0.038950219654864005,2,stop
005490,2021-03-08,2021-03-09,318500.0,307352.5,5,-62099.56656312477,-0.03895021965486378,1,stop
105560,2021-03-11,2021-03-12,52100.0,50276.5,35,-71107.41577887489,-0.038950219654863893,1,stop
145020,2021-03-19,2021-03-24,170000.0,173000.0,10,22944.6185000001,0.013481328861374875,3,time
034020,2021-03-22,2021-03-24,11678.0,11269.27,161,-73316.79552288353,-0.038950219654864005,2,stop
003490,2021-03-23,2021-03-24,28250.0,27261.25,66,-72706.21152712498,-0.038950219654863893,1,stop
352820,2021-04-16,2021-04-19,253500.0,244627.5,7,-69196.65988462511,-0.038950219654864005,1,stop
307950,2021-04-15,2021-04-20,120500.0,118000.0,15,-44796.944625000004,-0.02475545261990364,3,time
035720,2021-04-19,2021-04-22,119999.0,117500.0,15,-44751.190872750245,-0.02483341773484149,3,time
218410,2021-05-03,2021-05-04,40539.0,39120.135,44,-69556.03797281673,-0.03895021965486378,1,stop
010140,2021-05-07,2021-05-12,5757.0,5555.505,309,-69368.74490016233,-0.038950219654864005,3,stop
071050,2021-05-14,2021-05-17,105500.0,101807.5,16,-65823.5908059997,-0.03895021965486378,1,stop
319400,2021-05-14,2021-05-18,5620.0,5957.200000000001,314,98336.64653156023,0.05566089861745516,2,target
138040,2021-05-18,2021-05-20,16550.0,17543.0,107,98680.46926944982,0.055660898617454935,1,target
066970,2021-05-21,2021-05-26,86079.0,85117.0,20,-26238.65867399983,-0.015223524291946622,3,time
272210,2021-06-22,2021-06-24,17400.0,16791.0,102,-69208.35839009983,-0.038950219654863893,2,stop
047810,2021-06-28,2021-07-01,32850.0,32650.0,53,-17703.921779999975,-0.01015684960627461,3,time
352820,2021-06-30,2021-07-05,290500.0,307930.0,6,97128.53033099999,0.05566089861745516,3,target
034020,2021-07-22,2021-07-23,23599.0,22773.035,75,-69018.25767613109,-0.038950219654863893,1,stop
105560,2021-08-02,2021-08-05,51200.0,52000.0,34,19985.666479999898,0.011467547319200744,3,time
003230,2023-02-16,2023-02-21,124600.0,124600.0,14,-7148.900080000283,-0.004093491870325483,3,time
241560,2023-03-09,2023-03-10,41750.0,40288.75,42,-68377.76450137491,-0.038950219654863893,1,stop
058610,2023-03-20,2023-03-21,31200.0,30108.0,56,-68132.09588639974,-0.03895021965486378,1,stop
403870,2023-04-10,2023-04-11,24000.0,23160.0,72,-67383.39153599995,-0.038950219654863893,1,stop
086520,2023-04-14,2023-04-17,123215.0,118902.47499999999,14,-67266.79643143248,-0.038950219654863893,1,stop
247540,2023-04-14,2023-04-17,276500.0,293090.0,6,92447.63730300008,0.05566089861745516,1,target
000250,2023-05-09,2023-05-11,66000.0,63690.0,26,-66915.45131699997,-0.038950219654863893,2,stop
096770,2023-06-27,2023-06-28,167370.0,161512.05,10,-65265.96204502485,-0.038950219654863893,1,stop
402340,2023-06-30,2023-07-05,44900.0,46200.0,38,42262.01749000023,0.02474121771917548,3,time
080220,2023-07-10,2023-07-13,4600.0,4876.0,374,95869.14720679983,0.055660898617454935,3,target
083650,2023-07-17,2023-07-18,11040.0,10653.6,157,-67589.28523236001,-0.038950219654864005,1,stop
