code,entry_date,exit_date,entry_price,exit_price,shares,pnl_krw,pnl_pct,hold_days,reason
145020,2020-10-23,2020-10-26,219900.0,208905.0,9,-106774.02333225007,-0.053888817276809164,1,stop
047050,2020-10-23,2020-10-26,15150.0,14392.5,131,-107073.45025837468,-0.05388881727680894,1,stop
241560,2020-10-23,2020-10-27,32150.0,30542.5,62,-107540.12465675012,-0.053888817276809164,2,stop
034020,2020-10-26,2020-10-27,13464.0,12790.8,141,-102421.48879314004,-0.05388881727680905,1,stop
011200,2020-10-26,2020-10-27,8190.0,9009.0,232,181660.9390596,0.0954971589426421,1,target
086790,2020-10-23,2020-10-28,32350.0,30732.5,61,-106463.80624662503,-0.05388881727680905,3,stop
028260,2020-10-27,2020-10-28,120000.0,114000.0,16,-103585.53119999985,-0.05388881727680905,1,stop
039490,2020-10-23,2020-10-30,105000.0,103000.0,19,-46063.88309999998,-0.023063139644223907,5,time
012330,2020-10-27,2020-10-30,242000.0,229900.0,7,-91392.65096500004,-0.05388881727680905,3,stop
131290,2020-10-27,2020-11-03,34500.0,37950.0,55,181414.27301250026,0.09549715894264232,5,target
051910,2020-11-09,2020-11-10,739000.0,702050.0,2,-79739.27870499995,-0.05388881727680905,1,stop
353200,2020-11-09,2020-11-11,11750.0,11162.5,163,-103329.2649118749,-0.05388881727680905,2,stop
011200,2020-11-10,2020-11-11,12950.0,12302.5,142,-99210.12152275024,-0.053888817276809164,1,stop
043260,2020-11-09,2020-11-12,1230.0,1353.0,1557,183097.91219444945,0.09549715894264188,3,target
078600,2020-11-09,2020-11-12,45600.0,43320.0,42,-103326.56737199984,-0.05388881727680905,3,stop
087010,2020-11-12,2020-11-13,17923.0,17026.85,110,-106365.61579517508,-0.053888817276809164,1,stop
178320,2020-11-09,2020-11-16,20976.0,21227.0,91,14950.953858750174,0.0078235816203569,5,time
096770,2020-11-11,2020-11-16,156447.0,148624.65,11,-92844.84458130761,-0.053888817276809164,3,stop
003490,2020-11-11,2020-11-16,19307.0,21237.7,92,169821.35122677987,0.0954971589426421,3,target
011200,2020-11-13,2020-11-16,14400.0,13680.0,130,-100995.89292000001,-0.05388881727680905,1,stop
010950,2020-11-12,2020-11-19,66000.0,65100.0,30,-35034.83865000005,-0.0176740351630027,5,time
010140,2020-11-16,2020-11-19,5757.0,5469.15,316,-98147.9382215701,-0.053888817276809164,3,stop
131290,2020-11-19,2020-11-20,52600.0,57860.00000000001,35,176012.4777950002,0.09549715894264232,1,target
307950,2020-11-16,2020-11-23,81200.0,82900.0,22,29968.718450000044,0.016756767536330486,5,time
000270,2020-11-16,2020-11-23,59700.0,59300.0,30,-19304.49959999998,-0.010766232293304756,5,time
267250,2020-11-16,2020-11-23,50600.0,53300.0,35,86963.49707500008,0.049047764492325285,5,time
032820,2020-11-20,2020-11-23,1765.0,1676.75,1174,-111791.98700772529,-0.053888817276809164,1,stop
001440,2020-11-23,2020-11-24,11091.0,10536.449999999999,166,-99329.13698203512,-0.053888817276809164,1,stop
352820,2020-11-23,2020-11-24,183150.0,173992.5,10,-98810.88562124991,-0.05388881727680905,1,stop
084370,2020-11-23,2020-11-25,33750.0,32062.5,54,-98325.32844374981,-0.05388881727680894,2,stop
237690,2020-11-24,2020-11-25,77000.0,73150.0,22,-91392.6509649998,-0.05388881727680894,1,stop
319660,2020-11-19,2020-11-26,18300.0,18925.0,103,56460.52210125001,0.02991970854393955,5,time
226950,2020-11-25,2020-11-26,47644.0,52408.4,35,159428.48844230012,0.0954971589426421,1,target
032820,2020-11-25,2020-11-26,1645.0,1562.75,1035,-91855.27905356232,-0.05388881727680894,1,stop
131290,2020-11-23,2020-11-30,54300.0,55500.0,34,33113.6227200001,0.017915491734750377,5,time
082740,2020-11-24,2020-12-01,5208.0,5413.0,339,62054.703986850334,0.03510789717855789,5,time
043260,2020-11-26,2020-12-01,1750.0,1662.5,1031,-97340.72638937482,-0.05388881727680894,3,stop
226950,2020-11-30,2020-12-02,54200.0,51490.0,35,-102344.6628574999,-0.05388881727680905,2,stop
336260,2020-12-01,2020-12-02,49300.0,46835.0,35,-93092.10108624981,-0.05388881727680894,1,stop
