code,entry_date,exit_date,entry_price,exit_price,shares,pnl_krw,pnl_pct,hold_days,reason
145020,2020-10-23,2020-10-26,219900.0,206706.0,9,-126506.67847470008,-0.0638478823581059,1,stop
011200,2020-10-23,2020-10-26,7620.0,8763.0,262,290401.3488506996,0.14529248434912567,1,target
011200,2020-11-10,2020-11-11,12950.0,12173.0,157,-129961.62565855007,-0.0638478823581059,1,stop
009830,2020-11-10,2020-11-12,62642.0,58883.479999999996,32,-128133.09246444795,-0.06384788235810579,2,stop
307950,2020-11-12,2020-11-13,71400.0,82110.0,27,280417.0024214997,0.14529248434912567,1,target
003490,2020-11-11,2020-11-16,19307.0,22203.05,103,289264.0002969424,0.1452924843491259,3,target
011200,2020-11-13,2020-11-17,14400.0,13536.0,154,-141751.9125792,-0.06384788235810579,2,stop
034020,2020-11-10,2020-11-18,15201.0,14288.939999999999,133,-129231.83598236111,-0.0638478823581059,6,stop
131290,2020-11-18,2020-11-19,50000.0,57499.99999999999,38,276373.2257499995,0.14529248434912567,1,target
006400,2020-11-09,2020-11-23,501264.0,514971.0,4,46449.24381539994,0.02313944428095116,10,time
001440,2020-11-23,2020-11-24,11091.0,10425.539999999999,185,-131155.99546669493,-0.06384788235810579,1,stop
058610,2020-11-19,2020-11-25,7900.0,7426.0,275,-138869.06118249986,-0.06384788235810579,4,stop
000270,2020-11-12,2020-11-26,58600.0,58400.0,33,-14505.642029999988,-0.007492490191587042,10,time
226950,2020-11-25,2020-11-26,47644.0,54790.6,42,291071.6266529402,0.1452924843491259,1,target
307950,2020-11-16,2020-11-30,81200.0,80400.0,28,-31651.631199999712,-0.013905378649927913,10,time
319660,2020-11-17,2020-12-01,18400.0,18000.0,113,-53587.725580000086,-0.025743633351405282,10,time
319400,2020-11-30,2020-12-01,3600.0,3384.0,624,-143592.84650880005,-0.06384788235810579,1,stop
043260,2020-11-26,2020-12-03,1750.0,1645.0,1213,-135688.97566174972,-0.06384788235810568,5,stop
082740,2020-11-24,2020-12-04,5208.0,5989.2,369,279537.26280605956,0.14529248434912567,8,target
066970,2020-12-02,2020-12-04,53186.0,49994.84,44,-149587.64330232842,-0.06384788235810601,2,stop
068270,2020-12-01,2020-12-07,295520.0,339848.0,6,257917.3126536,0.1452924843491259,4,target
263750,2020-12-04,2020-12-07,47480.0,44631.2,46,-139609.27003336023,-0.0638478823581059,1,stop
267270,2020-11-26,2020-12-08,33650.0,31631.0,63,-135509.99597415002,-0.06384788235810579,8,stop
237690,2020-12-07,2020-12-09,111000.0,104340.0,18,-127714.79136599996,-0.06384788235810579,2,stop
207940,2020-12-08,2020-12-09,1268340.0,1192239.5999999999,1,-81073.96320378012,-0.0638478823581059,1,stop
082740,2020-12-07,2020-12-11,6369.0,7324.349999999999,321,297384.71842703223,0.14529248434912567,4,target
307950,2020-12-04,2020-12-14,95000.0,109249.99999999999,23,317829.2096124999,0.1452924843491259,6,target
036930,2020-12-03,2020-12-15,8660.0,8140.4,231,-127872.03780582012,-0.0638478823581059,8,stop
042700,2020-12-09,2020-12-16,6750.0,7762.499999999999,283,277864.1865731247,0.14529248434912567,5,target
095340,2020-12-11,2020-12-17,23400.0,26909.999999999996,102,347182.95537899947,0.14529248434912567,4,target
307950,2020-12-16,2020-12-18,130000.0,122200.0,16,-132956.33935999987,-0.06384788235810579,2,stop
066970,2020-12-17,2020-12-18,70017.0,65815.98,40,-179023.15409555985,-0.06384788235810579,1,stop
000250,2020-12-09,2020-12-21,66900.0,76935.0,28,272474.9086710005,0.14529248434912612,8,target
319660,2020-12-18,2020-12-21,21100.0,19834.0,109,-147012.6369683002,-0.0638478823581059,1,stop
028260,2020-12-14,2020-12-29,132500.0,136500.0,18,62013.53340000007,0.02597161026189121,10,time
263750,2020-12-15,2020-12-30,52020.0,52060.0,38,-6585.638867999893,-0.003327704474608506,10,time
058610,2020-12-22,2021-01-04,7900.0,9085.0,280,321756.6186100007,0.14529248434912612,6,target
042700,2020-12-18,2021-01-06,8400.0,8800.0,275,100208.87250000006,0.04333062756442119,10,time
000990,2020-12-29,2021-01-06,48150.0,55372.49999999999,50,350193.96894374955,0.14529248434912567,4,target
006400,2020-12-30,2021-01-06,589377.0,677783.5499999999,3,257191.61474661715,0.14529248434912567,3,target
000100,2020-12-21,2021-01-07,61790.0,65627.0,34,121463.65884109959,0.05774973958611662,10,time
096770,2021-01-06,2021-01-08,251891.0,289674.64999999997,9,329759.659929757,0.14529248434912567,2,target
064350,2021-01-06,2021-01-11,21850.0,20539.0,109,-152238.20463305013,-0.0638478823581059,3,stop
003550,2021-01-08,2021-01-11,101551.0,95457.93999999999,26,-168773.11522934213,-0.0638478823581059,1,stop
